date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.0,35,11,0.0
01/ENE/2022,03Hs,18.7,27,15,0.0
01/ENE/2022,06Hs,16.0,310,11,0.1
01/ENE/2022,09Hs,26.2,266,21,0.1
01/ENE/2022,12Hs,32.4,272,17,0.0
01/ENE/2022,15Hs,34.3,311,28,0.0
01/ENE/2022,18Hs,33.1,309,19,0.0
01/ENE/2022,21Hs,25.2,273,7,0.0
02/ENE/2022,00Hs,19.9,141,13,0.0
02/ENE/2022,03Hs,16.8,97,10,0.0
02/ENE/2022,06Hs,18.2,165,8,0.0
02/ENE/2022,09Hs,27.1,166,9,0.0
02/ENE/2022,12Hs,33.9,109,10,0.0
02/ENE/2022,15Hs,36.9,243,12,0.0
02/ENE/2022,18Hs,35.9,223,30,0.0
02/ENE/2022,21Hs,25.3,126,27,0.0
03/ENE/2022,00Hs,19.3,104,15,0.0
03/ENE/2022,03Hs,15.8,49,8,0.0
03/ENE/2022,06Hs,14.2,346,5,0.0
03/ENE/2022,09Hs,24.8,294,12,0.0
03/ENE/2022,12Hs,32.6,264,19,0.0
03/ENE/2022,15Hs,35.8,274,16,0.0
03/ENE/2022,18Hs,35.8,279,13,0.0
03/ENE/2022,21Hs,26.8,175,12,0.0
04/ENE/2022,00Hs,24.3,103,14,0.0
04/ENE/2022,03Hs,22.7,244,13,0.0
04/ENE/2022,06Hs,19.8,281,8,0.0
04/ENE/2022,09Hs,27.4,219,20,0.0
04/ENE/2022,12Hs,31.9,224,26,0.0
04/ENE/2022,15Hs,34.2,231,28,0.0
04/ENE/2022,18Hs,32.2,204,29,0.0
04/ENE/2022,21Hs,20.5,153,33,0.0
05/ENE/2022,00Hs,14.1,126,17,0.0
05/ENE/2022,03Hs,9.9,131,9,0.0
05/ENE/2022,06Hs,8.3,129,9,0.0
05/ENE/2022,09Hs,18.2,108,13,0.0
05/ENE/2022,12Hs,25.3,120,12,0.0
05/ENE/2022,15Hs,29.9,113,14,0.0
05/ENE/2022,18Hs,30.3,86,16,0.0
05/ENE/2022,21Hs,21.7,80,15,0.0
