date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,20.9,170,5,0.0
01/ENE/2022,03Hs,20.6,3,10,0.0
01/ENE/2022,06Hs,18.7,262,14,0.0
01/ENE/2022,09Hs,21.8,257,19,0.0
01/ENE/2022,12Hs,27.0,279,23,0.0
01/ENE/2022,15Hs,31.0,270,30,0.0
01/ENE/2022,18Hs,31.5,274,35,0.0
01/ENE/2022,21Hs,26.8,321,19,0.0
02/ENE/2022,00Hs,23.5,304,18,0.0
02/ENE/2022,03Hs,23.7,269,29,0.0
02/ENE/2022,06Hs,21.7,279,15,0.0
02/ENE/2022,09Hs,25.6,268,30,0.0
02/ENE/2022,12Hs,30.0,252,35,0.0
02/ENE/2022,15Hs,26.5,227,41,0.0
02/ENE/2022,18Hs,25.8,261,29,0.0
02/ENE/2022,21Hs,25.7,256,27,0.0
03/ENE/2022,00Hs,18.9,141,23,0.0
03/ENE/2022,03Hs,16.0,40,11,0.0
03/ENE/2022,06Hs,15.1,1,11,0.0
03/ENE/2022,09Hs,23.3,297,23,0.0
03/ENE/2022,12Hs,28.1,282,35,0.0
03/ENE/2022,15Hs,32.1,271,34,0.0
03/ENE/2022,18Hs,32.9,292,38,0.0
03/ENE/2022,21Hs,29.3,282,20,0.0
04/ENE/2022,00Hs,25.0,248,17,0.0
04/ENE/2022,03Hs,23.5,264,23,0.0
04/ENE/2022,06Hs,19.9,266,20,0.0
04/ENE/2022,09Hs,23.3,248,33,0.0
04/ENE/2022,12Hs,26.4,200,32,0.0
04/ENE/2022,15Hs,25.3,149,25,0.0
04/ENE/2022,18Hs,23.1,138,27,0.0
04/ENE/2022,21Hs,17.4,116,21,0.0
05/ENE/2022,00Hs,15.1,71,13,0.0
05/ENE/2022,03Hs,13.2,37,14,0.0
05/ENE/2022,06Hs,12.7,39,13,0.0
05/ENE/2022,09Hs,20.3,47,13,0.0
05/ENE/2022,12Hs,25.8,78,9,0.0
05/ENE/2022,15Hs,29.5,127,11,0.0
05/ENE/2022,18Hs,29.3,105,26,0.0
05/ENE/2022,21Hs,23.6,74,27,0.0
