date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,16.6,67,6,0.0
01/ENE/2022,03Hs,15.8,63,5,0.0
01/ENE/2022,06Hs,15.2,70,5,0.0
01/ENE/2022,09Hs,24.0,35,9,0.0
01/ENE/2022,12Hs,30.4,40,6,0.0
01/ENE/2022,15Hs,32.2,61,7,0.0
01/ENE/2022,18Hs,30.3,45,2,0.0
01/ENE/2022,21Hs,25.1,175,4,0.0
02/ENE/2022,00Hs,20.4,64,7,0.0
02/ENE/2022,03Hs,19.1,62,7,0.0
02/ENE/2022,06Hs,18.5,40,8,0.0
02/ENE/2022,09Hs,25.6,6,16,0.0
02/ENE/2022,12Hs,31.0,347,14,0.0
02/ENE/2022,15Hs,34.4,352,7,0.0
02/ENE/2022,18Hs,31.8,47,11,0.0
02/ENE/2022,21Hs,23.9,58,7,0.0
03/ENE/2022,00Hs,21.1,30,4,0.0
03/ENE/2022,03Hs,17.4,157,6,1.4
03/ENE/2022,06Hs,17.6,58,3,0.4
03/ENE/2022,09Hs,23.0,46,5,0.0
03/ENE/2022,12Hs,28.5,336,7,0.0
03/ENE/2022,15Hs,26.4,242,12,0.0
03/ENE/2022,18Hs,19.5,198,10,1.6
03/ENE/2022,21Hs,18.6,116,7,0.0
04/ENE/2022,00Hs,18.5,89,10,0.0
04/ENE/2022,03Hs,18.9,66,11,0.0
04/ENE/2022,06Hs,18.9,50,11,0.1
04/ENE/2022,09Hs,18.6,79,6,2.4
04/ENE/2022,12Hs,19.8,276,6,4.0
04/ENE/2022,15Hs,21.8,204,6,0.9
04/ENE/2022,18Hs,24.4,63,15,0.5
04/ENE/2022,21Hs,17.9,66,6,2.0
05/ENE/2022,00Hs,16.5,71,5,0.0
05/ENE/2022,03Hs,16.3,94,4,0.0
05/ENE/2022,06Hs,17.1,39,3,0.0
05/ENE/2022,09Hs,22.4,324,9,0.0
05/ENE/2022,12Hs,24.9,251,9,1.8
05/ENE/2022,15Hs,29.5,189,11,0.5
05/ENE/2022,18Hs,23.7,175,10,1.6
05/ENE/2022,21Hs,20.1,141,11,0.4
