date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,27.9,58,15,0.0
01/ENE/2022,03Hs,25.2,42,17,0.0
01/ENE/2022,06Hs,24.0,34,17,0.2
01/ENE/2022,09Hs,30.0,20,25,0.4
01/ENE/2022,12Hs,37.9,23,25,0.6
01/ENE/2022,15Hs,42.0,50,24,0.2
01/ENE/2022,18Hs,25.3,1,15,0.8
01/ENE/2022,21Hs,23.2,71,36,2.6
02/ENE/2022,00Hs,20.8,156,18,1.2
02/ENE/2022,03Hs,19.6,344,6,0.6
02/ENE/2022,06Hs,19.2,141,11,0.2
02/ENE/2022,09Hs,26.1,119,8,0.0
02/ENE/2022,12Hs,35.2,358,7,0.4
02/ENE/2022,15Hs,39.9,298,15,0.2
02/ENE/2022,18Hs,40.8,236,13,0.0
02/ENE/2022,21Hs,29.9,222,24,0.2
03/ENE/2022,00Hs,24.3,359,8,0.0
03/ENE/2022,03Hs,23.8,297,12,0.0
03/ENE/2022,06Hs,23.6,216,13,0.0
03/ENE/2022,09Hs,28.0,206,5,0.0
03/ENE/2022,12Hs,35.0,283,14,0.0
03/ENE/2022,15Hs,38.1,254,9,0.0
03/ENE/2022,18Hs,39.6,94,11,0.0
03/ENE/2022,21Hs,31.5,98,10,0.0
04/ENE/2022,00Hs,29.2,329,6,0.0
04/ENE/2022,03Hs,21.7,168,20,2.4
04/ENE/2022,06Hs,19.8,182,18,3.8
04/ENE/2022,09Hs,22.5,107,23,0.9
04/ENE/2022,12Hs,31.1,226,13,0.0
04/ENE/2022,15Hs,36.0,200,16,0.0
04/ENE/2022,18Hs,36.6,185,24,0.0
04/ENE/2022,21Hs,29.0,180,14,0.0
05/ENE/2022,00Hs,27.3,167,15,0.0
05/ENE/2022,03Hs,24.3,164,17,0.0
05/ENE/2022,06Hs,23.0,144,19,0.0
05/ENE/2022,09Hs,27.2,117,31,0.0
05/ENE/2022,12Hs,33.4,115,23,0.0
05/ENE/2022,15Hs,37.1,124,18,0.0
05/ENE/2022,18Hs,36.2,141,25,0.0
05/ENE/2022,21Hs,29.3,139,17,0.0
