date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,29.7,121,22,0.0
01/ENE/2022,03Hs,28.3,105,30,0.0
01/ENE/2022,06Hs,26.4,119,27,0.0
01/ENE/2022,09Hs,30.1,141,18,0.0
01/ENE/2022,12Hs,35.9,200,19,0.0
01/ENE/2022,15Hs,39.3,125,16,0.0
01/ENE/2022,18Hs,39.1,102,21,0.0
01/ENE/2022,21Hs,33.4,199,15,0.0
02/ENE/2022,00Hs,29.9,97,23,0.0
02/ENE/2022,03Hs,23.7,106,15,0.1
02/ENE/2022,06Hs,23.2,211,10,0.0
02/ENE/2022,09Hs,26.8,161,5,0.0
02/ENE/2022,12Hs,33.8,28,3,0.0
02/ENE/2022,15Hs,38.6,3,14,0.0
02/ENE/2022,18Hs,39.4,338,14,0.0
02/ENE/2022,21Hs,33.5,65,14,0.0
03/ENE/2022,00Hs,31.1,158,10,0.0
03/ENE/2022,03Hs,29.8,120,21,0.0
03/ENE/2022,06Hs,25.2,87,21,0.0
03/ENE/2022,09Hs,27.6,90,14,0.8
03/ENE/2022,12Hs,34.1,74,22,0.1
03/ENE/2022,15Hs,37.2,72,23,0.0
03/ENE/2022,18Hs,38.4,83,25,0.0
03/ENE/2022,21Hs,33.2,82,23,0.1
04/ENE/2022,00Hs,29.8,142,16,0.2
04/ENE/2022,03Hs,26.6,150,17,1.8
04/ENE/2022,06Hs,24.1,203,6,5.0
04/ENE/2022,09Hs,26.1,66,19,2.6
04/ENE/2022,12Hs,28.6,72,19,0.5
04/ENE/2022,15Hs,32.6,48,17,0.0
04/ENE/2022,18Hs,33.6,52,17,0.0
04/ENE/2022,21Hs,30.3,55,12,0.2
05/ENE/2022,00Hs,24.3,145,30,0.8
05/ENE/2022,03Hs,23.6,278,21,1.8
05/ENE/2022,06Hs,21.4,274,25,1.0
05/ENE/2022,09Hs,20.8,222,7,0.6
05/ENE/2022,12Hs,24.9,357,14,0.0
05/ENE/2022,15Hs,27.7,35,19,0.0
05/ENE/2022,18Hs,29.7,63,18,0.0
05/ENE/2022,21Hs,26.2,13,7,0.0
