date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,27.8,11,14,0.0
01/ENE/2022,03Hs,26.5,5,25,0.0
01/ENE/2022,06Hs,25.3,12,24,0.0
01/ENE/2022,09Hs,29.1,18,23,0.0
01/ENE/2022,12Hs,33.2,254,28,0.0
01/ENE/2022,15Hs,35.7,244,29,0.0
01/ENE/2022,18Hs,36.4,239,13,0.0
01/ENE/2022,21Hs,30.7,247,26,0.0
02/ENE/2022,00Hs,27.8,242,22,0.0
02/ENE/2022,03Hs,22.1,356,22,0.3
02/ENE/2022,06Hs,23.1,339,9,0.0
02/ENE/2022,09Hs,26.3,21,20,0.0
02/ENE/2022,12Hs,33.2,23,8,0.0
02/ENE/2022,15Hs,37.8,159,8,0.0
02/ENE/2022,18Hs,38.7,184,22,0.0
02/ENE/2022,21Hs,32.2,166,16,0.0
03/ENE/2022,00Hs,28.1,158,18,0.0
03/ENE/2022,03Hs,25.4,182,8,0.0
03/ENE/2022,06Hs,23.1,94,15,0.0
03/ENE/2022,09Hs,28.8,342,27,0.0
03/ENE/2022,12Hs,33.0,30,21,0.2
03/ENE/2022,15Hs,36.3,23,25,0.0
03/ENE/2022,18Hs,36.8,12,19,0.0
03/ENE/2022,21Hs,32.3,351,17,0.0
04/ENE/2022,00Hs,22.5,139,13,5.2
04/ENE/2022,03Hs,22.2,262,6,0.3
04/ENE/2022,06Hs,21.6,62,7,0.2
04/ENE/2022,09Hs,25.6,173,8,0.0
04/ENE/2022,12Hs,30.3,19,17,0.0
04/ENE/2022,15Hs,33.3,34,19,0.0
04/ENE/2022,18Hs,34.1,31,16,0.0
04/ENE/2022,21Hs,21.1,166,28,2.2
05/ENE/2022,00Hs,22.3,12,10,0.0
05/ENE/2022,03Hs,23.6,248,7,0.0
05/ENE/2022,06Hs,22.9,238,4,0.2
05/ENE/2022,09Hs,24.0,353,15,0.0
05/ENE/2022,12Hs,23.3,281,4,0.0
05/ENE/2022,15Hs,29.4,68,15,0.0
05/ENE/2022,18Hs,29.2,103,14,0.0
05/ENE/2022,21Hs,25.6,163,5,0.0
