date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.7,43,4,0.0
01/ENE/2022,03Hs,23.8,285,4,0.0
01/ENE/2022,06Hs,22.3,257,4,0.0
01/ENE/2022,09Hs,24.9,214,7,0.0
01/ENE/2022,12Hs,29.1,204,14,0.0
01/ENE/2022,15Hs,32.3,160,22,0.0
01/ENE/2022,18Hs,31.0,117,18,0.0
01/ENE/2022,21Hs,28.1,116,12,0.0
02/ENE/2022,00Hs,25.9,116,3,0.0
02/ENE/2022,03Hs,21.5,67,4,0.6
02/ENE/2022,06Hs,20.1,203,4,0.0
02/ENE/2022,09Hs,22.9,208,7,0.0
02/ENE/2022,12Hs,27.6,203,12,0.0
02/ENE/2022,15Hs,31.3,202,12,0.0
02/ENE/2022,18Hs,32.5,156,14,0.0
02/ENE/2022,21Hs,27.9,96,12,0.0
03/ENE/2022,00Hs,25.9,71,10,0.0
03/ENE/2022,03Hs,24.5,81,11,0.0
03/ENE/2022,06Hs,22.9,89,8,0.1
03/ENE/2022,09Hs,22.8,205,10,0.4
03/ENE/2022,12Hs,26.5,217,13,0.0
03/ENE/2022,15Hs,29.4,230,10,0.0
03/ENE/2022,18Hs,30.3,124,6,0.0
03/ENE/2022,21Hs,28.3,109,10,0.2
04/ENE/2022,00Hs,24.2,95,12,0.9
04/ENE/2022,03Hs,23.5,105,10,0.7
04/ENE/2022,06Hs,20.2,184,3,0.2
04/ENE/2022,09Hs,21.5,210,12,0.6
04/ENE/2022,12Hs,26.3,170,24,1.1
04/ENE/2022,15Hs,27.5,149,16,0.4
04/ENE/2022,18Hs,26.2,114,14,0.1
04/ENE/2022,21Hs,22.8,93,18,0.6
05/ENE/2022,00Hs,22.6,90,16,1.5
05/ENE/2022,03Hs,16.1,202,18,1.2
05/ENE/2022,06Hs,14.9,205,17,3.1
05/ENE/2022,09Hs,15.2,166,4,4.7
05/ENE/2022,12Hs,20.0,181,12,0.8
05/ENE/2022,15Hs,22.5,175,10,0.4
05/ENE/2022,18Hs,23.6,165,7,0.1
05/ENE/2022,21Hs,21.1,105,8,0.0
