date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,19.8,174,12,0.0
01/ENE/2022,03Hs,16.8,156,13,0.0
01/ENE/2022,06Hs,16.8,238,16,0.0
01/ENE/2022,09Hs,26.0,217,18,0.0
01/ENE/2022,12Hs,30.2,241,19,0.0
01/ENE/2022,15Hs,32.6,262,20,0.0
01/ENE/2022,18Hs,31.9,261,22,0.0
01/ENE/2022,21Hs,23.2,214,11,0.0
02/ENE/2022,00Hs,19.8,205,7,0.0
02/ENE/2022,03Hs,21.3,229,14,0.0
02/ENE/2022,06Hs,18.2,16,7,0.0
02/ENE/2022,09Hs,26.5,227,12,0.0
02/ENE/2022,12Hs,31.3,237,14,0.0
02/ENE/2022,15Hs,32.9,247,17,0.0
02/ENE/2022,18Hs,30.1,200,33,0.0
02/ENE/2022,21Hs,24.0,208,18,0.0
03/ENE/2022,00Hs,16.8,27,9,0.0
03/ENE/2022,03Hs,14.7,330,11,0.0
03/ENE/2022,06Hs,13.1,305,10,0.0
03/ENE/2022,09Hs,24.1,304,21,0.0
03/ENE/2022,12Hs,30.3,262,20,0.0
03/ENE/2022,15Hs,33.6,274,21,0.0
03/ENE/2022,18Hs,33.6,274,21,0.0
03/ENE/2022,21Hs,25.3,203,14,0.0
04/ENE/2022,00Hs,22.0,219,8,0.0
04/ENE/2022,03Hs,20.1,261,8,0.0
04/ENE/2022,06Hs,16.9,236,12,0.0
04/ENE/2022,09Hs,24.2,226,27,0.0
04/ENE/2022,12Hs,28.7,226,29,0.0
04/ENE/2022,15Hs,30.8,225,28,0.0
04/ENE/2022,18Hs,28.8,198,26,0.0
04/ENE/2022,21Hs,18.8,142,28,0.0
05/ENE/2022,00Hs,13.4,132,22,0.0
05/ENE/2022,03Hs,9.8,124,13,0.0
05/ENE/2022,06Hs,9.0,118,8,0.0
05/ENE/2022,09Hs,18.0,101,10,0.0
05/ENE/2022,12Hs,25.8,112,11,0.0
05/ENE/2022,15Hs,29.9,116,13,0.0
05/ENE/2022,18Hs,30.3,101,17,0.0
05/ENE/2022,21Hs,21.7,85,15,0.0
