date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,6.3,303,12,0.8
01/ENE/2022,03Hs,5.7,307,7,0.2
01/ENE/2022,06Hs,6.3,304,8,0.6
01/ENE/2022,09Hs,6.7,313,9,0.5
01/ENE/2022,12Hs,11.3,302,27,0.8
01/ENE/2022,15Hs,13.3,288,34,2.5
01/ENE/2022,18Hs,10.7,284,23,8.4
01/ENE/2022,21Hs,8.4,300,8,16.3
02/ENE/2022,00Hs,9.0,306,11,9.1
02/ENE/2022,03Hs,5.9,272,18,0.1
02/ENE/2022,06Hs,3.5,270,15,0.0
02/ENE/2022,09Hs,7.4,274,22,0.0
02/ENE/2022,12Hs,9.6,274,23,0.0
02/ENE/2022,15Hs,12.6,279,22,0.0
02/ENE/2022,18Hs,12.0,273,19,0.0
02/ENE/2022,21Hs,9.4,264,12,0.0
03/ENE/2022,00Hs,4.7,289,12,0.0
03/ENE/2022,03Hs,2.9,296,9,0.0
03/ENE/2022,06Hs,3.5,317,11,0.0
03/ENE/2022,09Hs,4.8,317,9,0.9
03/ENE/2022,12Hs,7.6,311,12,0.8
03/ENE/2022,15Hs,11.4,303,18,1.0
03/ENE/2022,18Hs,15.6,278,35,0.0
03/ENE/2022,21Hs,10.7,280,16,0.0
04/ENE/2022,00Hs,4.7,288,14,0.0
04/ENE/2022,03Hs,3.4,293,12,0.0
04/ENE/2022,06Hs,2.4,298,10,0.0
04/ENE/2022,09Hs,6.8,311,4,0.0
04/ENE/2022,12Hs,11.7,292,25,0.0
04/ENE/2022,15Hs,15.7,285,21,0.0
04/ENE/2022,18Hs,17.2,275,17,0.0
04/ENE/2022,21Hs,12.9,271,13,0.0
05/ENE/2022,00Hs,8.0,258,10,0.0
05/ENE/2022,03Hs,5.7,260,8,0.0
05/ENE/2022,06Hs,4.4,278,6,0.0
05/ENE/2022,09Hs,8.5,275,3,0.0
05/ENE/2022,12Hs,16.1,173,2,0.0
05/ENE/2022,15Hs,21.7,236,1,0.0
05/ENE/2022,18Hs,23.9,308,5,0.0
05/ENE/2022,21Hs,19.5,312,8,0.0
