date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,26.5,50,10,0.0
01/ENE/2022,03Hs,22.4,85,11,0.5
01/ENE/2022,06Hs,18.6,77,11,0.8
01/ENE/2022,09Hs,25.1,55,9,0.4
01/ENE/2022,12Hs,31.6,38,10,0.9
01/ENE/2022,15Hs,37.8,69,16,0.1
01/ENE/2022,18Hs,38.5,22,16,0.0
01/ENE/2022,21Hs,24.4,9,17,0.9
02/ENE/2022,00Hs,22.5,67,22,11.9
02/ENE/2022,03Hs,20.8,301,8,0.3
02/ENE/2022,06Hs,19.7,223,4,0.2
02/ENE/2022,09Hs,25.0,111,5,0.4
02/ENE/2022,12Hs,34.5,0,13,0.0
02/ENE/2022,15Hs,39.4,334,14,0.0
02/ENE/2022,18Hs,39.4,277,8,0.0
02/ENE/2022,21Hs,28.8,282,14,0.0
03/ENE/2022,00Hs,25.5,167,17,0.0
03/ENE/2022,03Hs,22.1,155,17,0.0
03/ENE/2022,06Hs,20.5,143,14,0.0
03/ENE/2022,09Hs,26.0,110,10,0.0
03/ENE/2022,12Hs,33.8,80,12,0.0
03/ENE/2022,15Hs,38.5,85,9,0.0
03/ENE/2022,18Hs,39.3,96,13,0.0
03/ENE/2022,21Hs,30.6,98,8,0.2
04/ENE/2022,00Hs,19.9,172,34,1.4
04/ENE/2022,03Hs,19.9,171,24,1.4
04/ENE/2022,06Hs,20.0,67,14,3.2
04/ENE/2022,09Hs,24.3,171,13,0.0
04/ENE/2022,12Hs,30.7,212,10,0.0
04/ENE/2022,15Hs,34.8,203,12,0.0
04/ENE/2022,18Hs,35.3,181,19,0.0
04/ENE/2022,21Hs,28.4,185,15,0.0
05/ENE/2022,00Hs,25.8,164,19,0.0
05/ENE/2022,03Hs,24.0,138,22,0.0
05/ENE/2022,06Hs,20.0,126,26,0.0
05/ENE/2022,09Hs,23.0,114,25,0.0
05/ENE/2022,12Hs,30.0,123,15,0.0
05/ENE/2022,15Hs,34.4,144,15,0.0
05/ENE/2022,18Hs,34.1,145,17,0.0
05/ENE/2022,21Hs,27.4,139,14,0.0
