date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.1,157,6,0.0
01/ENE/2022,03Hs,19.9,10,3,0.4
01/ENE/2022,06Hs,16.9,168,24,0.1
01/ENE/2022,09Hs,20.5,144,18,1.3
01/ENE/2022,12Hs,28.5,115,13,0.0
01/ENE/2022,15Hs,30.9,45,9,0.0
01/ENE/2022,18Hs,31.8,352,4,0.0
01/ENE/2022,21Hs,25.1,325,6,0.0
02/ENE/2022,00Hs,22.1,270,3,0.0
02/ENE/2022,03Hs,20.6,124,6,0.0
02/ENE/2022,06Hs,18.2,156,11,0.0
02/ENE/2022,09Hs,26.2,134,20,0.0
02/ENE/2022,12Hs,31.9,50,14,0.0
02/ENE/2022,15Hs,34.5,311,10,0.0
02/ENE/2022,18Hs,22.3,258,39,1.9
02/ENE/2022,21Hs,21.8,145,10,2.1
03/ENE/2022,00Hs,23.3,175,28,0.0
03/ENE/2022,03Hs,18.2,152,11,0.0
03/ENE/2022,06Hs,16.5,178,9,0.0
03/ENE/2022,09Hs,23.5,158,10,0.0
03/ENE/2022,12Hs,29.2,98,9,0.0
03/ENE/2022,15Hs,33.4,21,11,0.0
03/ENE/2022,18Hs,35.1,245,6,0.0
03/ENE/2022,21Hs,26.4,13,13,0.0
04/ENE/2022,00Hs,19.6,31,13,0.0
04/ENE/2022,03Hs,19.0,200,13,0.0
04/ENE/2022,06Hs,18.4,190,15,0.0
04/ENE/2022,09Hs,24.9,181,27,0.0
04/ENE/2022,12Hs,30.2,189,29,0.0
04/ENE/2022,15Hs,33.3,196,26,0.0
04/ENE/2022,18Hs,32.3,184,29,0.0
04/ENE/2022,21Hs,23.8,169,16,0.0
05/ENE/2022,00Hs,19.5,138,16,0.0
05/ENE/2022,03Hs,18.4,90,25,0.0
05/ENE/2022,06Hs,15.2,93,18,0.0
05/ENE/2022,09Hs,20.0,56,20,0.0
05/ENE/2022,12Hs,27.5,48,17,0.0
05/ENE/2022,15Hs,31.6,50,13,0.0
05/ENE/2022,18Hs,32.7,62,14,0.0
05/ENE/2022,21Hs,24.2,60,15,0.0
