date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.9,49,5,0.0
01/ENE/2022,03Hs,23.6,53,10,0.0
01/ENE/2022,06Hs,21.9,36,10,0.0
01/ENE/2022,09Hs,31.3,22,14,0.0
01/ENE/2022,12Hs,38.0,19,14,0.0
01/ENE/2022,15Hs,40.1,16,14,0.0
01/ENE/2022,18Hs,39.1,3,13,0.0
01/ENE/2022,21Hs,30.3,36,9,0.0
02/ENE/2022,00Hs,27.0,69,11,0.0
02/ENE/2022,03Hs,26.8,41,13,0.0
02/ENE/2022,06Hs,25.4,30,15,0.0
02/ENE/2022,09Hs,33.0,9,24,0.0
02/ENE/2022,12Hs,40.1,348,20,0.0
02/ENE/2022,15Hs,39.9,314,10,0.0
02/ENE/2022,18Hs,22.2,245,20,0.8
02/ENE/2022,21Hs,24.3,353,20,0.4
03/ENE/2022,00Hs,22.8,70,13,0.1
03/ENE/2022,03Hs,21.9,80,5,0.0
03/ENE/2022,06Hs,21.0,33,8,0.4
03/ENE/2022,09Hs,26.7,16,16,0.2
03/ENE/2022,12Hs,32.0,18,15,0.0
03/ENE/2022,15Hs,36.9,16,9,0.0
03/ENE/2022,18Hs,23.0,53,20,1.2
03/ENE/2022,21Hs,23.0,62,12,0.6
04/ENE/2022,00Hs,23.2,39,10,0.0
04/ENE/2022,03Hs,22.3,139,5,0.6
04/ENE/2022,06Hs,20.7,71,7,1.4
04/ENE/2022,09Hs,27.6,30,12,0.4
04/ENE/2022,12Hs,35.0,357,10,0.0
04/ENE/2022,15Hs,34.9,282,8,0.0
04/ENE/2022,18Hs,23.9,109,12,1.3
04/ENE/2022,21Hs,22.3,94,15,0.2
05/ENE/2022,00Hs,20.4,182,14,1.4
05/ENE/2022,03Hs,21.4,40,8,0.4
05/ENE/2022,06Hs,20.8,178,6,0.0
05/ENE/2022,09Hs,24.6,181,16,0.0
05/ENE/2022,12Hs,31.8,166,17,0.0
05/ENE/2022,15Hs,35.4,159,14,0.0
05/ENE/2022,18Hs,31.6,160,28,0.0
05/ENE/2022,21Hs,27.2,124,18,0.0
