date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,29.3,187,16,0.0
01/ENE/2022,03Hs,26.9,217,10,0.0
01/ENE/2022,06Hs,25.3,177,6,0.0
01/ENE/2022,09Hs,25.2,186,38,0.0
01/ENE/2022,12Hs,28.0,157,30,0.0
01/ENE/2022,15Hs,29.6,147,16,0.0
01/ENE/2022,18Hs,31.3,154,18,0.0
01/ENE/2022,21Hs,29.9,152,13,0.0
02/ENE/2022,00Hs,27.1,195,11,0.0
02/ENE/2022,03Hs,25.0,192,10,0.0
02/ENE/2022,06Hs,23.5,226,11,0.0
02/ENE/2022,09Hs,25.6,204,4,0.0
02/ENE/2022,12Hs,30.4,100,18,0.0
02/ENE/2022,15Hs,33.9,79,8,0.0
02/ENE/2022,18Hs,36.0,113,20,0.0
02/ENE/2022,21Hs,34.0,212,10,0.0
03/ENE/2022,00Hs,30.2,187,28,0.0
03/ENE/2022,03Hs,27.7,195,29,0.0
03/ENE/2022,06Hs,22.5,190,29,0.8
03/ENE/2022,09Hs,22.6,178,19,0.0
03/ENE/2022,12Hs,26.2,158,12,0.0
03/ENE/2022,15Hs,30.2,121,7,0.0
03/ENE/2022,18Hs,33.2,150,11,0.0
03/ENE/2022,21Hs,32.0,143,13,0.0
04/ENE/2022,00Hs,27.9,214,15,0.2
04/ENE/2022,03Hs,25.7,221,14,0.5
04/ENE/2022,06Hs,24.0,276,3,0.2
04/ENE/2022,09Hs,25.1,161,18,0.0
04/ENE/2022,12Hs,27.3,169,30,0.0
04/ENE/2022,15Hs,30.1,157,23,0.0
04/ENE/2022,18Hs,31.1,171,21,0.0
04/ENE/2022,21Hs,28.2,172,21,2.6
05/ENE/2022,00Hs,24.9,88,12,2.2
05/ENE/2022,03Hs,23.7,152,18,0.5
05/ENE/2022,06Hs,18.9,109,14,2.4
05/ENE/2022,09Hs,17.6,359,2,2.1
05/ENE/2022,12Hs,21.2,58,8,0.0
05/ENE/2022,15Hs,25.6,122,11,0.0
05/ENE/2022,18Hs,27.4,134,18,0.0
05/ENE/2022,21Hs,25.3,133,22,0.0
