date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,20.1,273,8,0.2
01/ENE/2022,03Hs,20.3,269,7,0.0
01/ENE/2022,06Hs,20.0,270,7,0.0
01/ENE/2022,09Hs,27.7,83,5,0.0
01/ENE/2022,12Hs,33.1,77,10,0.0
01/ENE/2022,15Hs,36.7,78,13,0.0
01/ENE/2022,18Hs,37.2,64,13,0.0
01/ENE/2022,21Hs,27.3,20,4,0.0
02/ENE/2022,00Hs,23.6,241,7,0.0
02/ENE/2022,03Hs,21.9,273,6,0.0
02/ENE/2022,06Hs,20.9,276,7,0.0
02/ENE/2022,09Hs,28.2,80,5,0.0
02/ENE/2022,12Hs,33.8,80,11,0.0
02/ENE/2022,15Hs,36.4,64,13,0.0
02/ENE/2022,18Hs,36.0,58,12,0.0
02/ENE/2022,21Hs,25.4,274,5,0.2
03/ENE/2022,00Hs,19.5,253,11,4.9
03/ENE/2022,03Hs,19.5,241,6,0.5
03/ENE/2022,06Hs,19.1,266,8,0.2
03/ENE/2022,09Hs,24.3,82,8,0.3
03/ENE/2022,12Hs,27.6,64,11,0.0
03/ENE/2022,15Hs,32.6,80,12,0.0
03/ENE/2022,18Hs,32.7,70,10,0.0
03/ENE/2022,21Hs,24.3,279,5,0.0
04/ENE/2022,00Hs,22.4,263,6,0.0
04/ENE/2022,03Hs,20.9,265,5,0.0
04/ENE/2022,06Hs,19.6,265,4,0.0
04/ENE/2022,09Hs,26.9,97,4,0.0
04/ENE/2022,12Hs,32.2,93,12,0.0
04/ENE/2022,15Hs,35.5,88,14,0.0
04/ENE/2022,18Hs,18.7,197,5,27.5
04/ENE/2022,21Hs,18.6,264,8,1.0
05/ENE/2022,00Hs,18.0,265,5,0.2
05/ENE/2022,03Hs,17.0,308,3,0.3
05/ENE/2022,06Hs,15.9,262,6,1.8
05/ENE/2022,09Hs,21.5,241,4,0.4
05/ENE/2022,12Hs,29.3,144,10,0.0
05/ENE/2022,15Hs,31.3,129,7,0.0
05/ENE/2022,18Hs,24.8,188,6,0.0
05/ENE/2022,21Hs,17.7,256,8,1.9
