date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,22.9,48,21,0.0
01/ENE/2022,03Hs,20.0,14,12,0.0
01/ENE/2022,06Hs,18.5,356,7,0.0
01/ENE/2022,09Hs,28.9,301,18,0.0
01/ENE/2022,12Hs,35.1,282,20,0.0
01/ENE/2022,15Hs,35.3,288,28,0.0
01/ENE/2022,18Hs,35.6,293,34,0.0
01/ENE/2022,21Hs,25.8,233,14,0.2
02/ENE/2022,00Hs,23.3,25,10,0.0
02/ENE/2022,03Hs,21.2,266,7,0.3
02/ENE/2022,06Hs,18.9,37,14,0.5
02/ENE/2022,09Hs,25.4,347,15,0.0
02/ENE/2022,12Hs,34.8,329,13,0.0
02/ENE/2022,15Hs,38.9,327,35,0.0
02/ENE/2022,18Hs,18.1,35,33,12.8
02/ENE/2022,21Hs,18.0,154,16,1.0
03/ENE/2022,00Hs,17.4,139,19,0.0
03/ENE/2022,03Hs,15.7,59,8,0.0
03/ENE/2022,06Hs,16.0,47,6,0.0
03/ENE/2022,09Hs,23.3,200,8,0.0
03/ENE/2022,12Hs,32.3,241,9,0.0
03/ENE/2022,15Hs,37.2,294,2,0.0
03/ENE/2022,18Hs,36.6,13,10,0.0
03/ENE/2022,21Hs,26.3,50,15,0.0
04/ENE/2022,00Hs,23.6,29,16,0.0
04/ENE/2022,03Hs,21.8,303,13,0.6
04/ENE/2022,06Hs,21.3,88,14,0.6
04/ENE/2022,09Hs,25.1,224,14,0.0
04/ENE/2022,12Hs,34.0,240,22,0.0
04/ENE/2022,15Hs,36.3,228,28,0.0
04/ENE/2022,18Hs,34.7,217,28,0.0
04/ENE/2022,21Hs,21.2,137,33,0.0
05/ENE/2022,00Hs,16.8,132,22,0.0
05/ENE/2022,03Hs,12.2,138,10,0.0
05/ENE/2022,06Hs,10.3,155,11,0.0
05/ENE/2022,09Hs,18.4,131,16,0.0
05/ENE/2022,12Hs,25.2,128,14,0.0
05/ENE/2022,15Hs,29.2,116,14,0.0
05/ENE/2022,18Hs,29.0,94,19,0.0
05/ENE/2022,21Hs,18.8,76,30,0.0
