date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,26.9,67,10,0.0
01/ENE/2022,03Hs,24.9,44,10,0.0
01/ENE/2022,06Hs,23.3,28,10,0.0
01/ENE/2022,09Hs,32.5,39,18,0.0
01/ENE/2022,12Hs,39.8,38,17,0.0
01/ENE/2022,15Hs,43.5,41,16,0.0
01/ENE/2022,18Hs,43.0,47,16,0.0
01/ENE/2022,21Hs,32.9,58,12,0.0
02/ENE/2022,00Hs,33.0,38,16,0.0
02/ENE/2022,03Hs,28.3,40,13,0.0
02/ENE/2022,06Hs,29.2,12,16,0.0
02/ENE/2022,09Hs,33.5,353,19,0.0
02/ENE/2022,12Hs,40.7,0,21,0.0
02/ENE/2022,15Hs,43.7,4,20,0.0
02/ENE/2022,18Hs,42.7,340,17,0.0
02/ENE/2022,21Hs,34.0,350,6,0.0
03/ENE/2022,00Hs,27.9,85,15,0.0
03/ENE/2022,03Hs,22.0,78,14,1.1
03/ENE/2022,06Hs,20.8,113,17,4.6
03/ENE/2022,09Hs,22.8,60,17,2.8
03/ENE/2022,12Hs,29.9,18,16,0.0
03/ENE/2022,15Hs,34.1,51,14,0.0
03/ENE/2022,18Hs,35.9,68,7,0.0
03/ENE/2022,21Hs,29.3,43,7,0.0
04/ENE/2022,00Hs,25.4,28,12,0.2
04/ENE/2022,03Hs,23.1,19,9,0.0
04/ENE/2022,06Hs,22.1,13,7,0.0
04/ENE/2022,09Hs,29.3,6,15,0.0
04/ENE/2022,12Hs,37.4,10,10,0.0
04/ENE/2022,15Hs,41.9,342,4,0.0
04/ENE/2022,18Hs,23.8,196,43,1.7
04/ENE/2022,21Hs,21.1,70,17,0.6
05/ENE/2022,00Hs,21.0,308,8,0.0
05/ENE/2022,03Hs,20.1,230,7,0.0
05/ENE/2022,06Hs,20.1,189,4,0.0
05/ENE/2022,09Hs,27.8,206,6,0.0
05/ENE/2022,12Hs,34.8,160,9,0.0
05/ENE/2022,15Hs,38.2,116,18,0.0
05/ENE/2022,18Hs,33.2,142,17,0.0
05/ENE/2022,21Hs,28.3,105,10,0.0
