date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,8.4,348,17,7.1
01/ENE/2022,03Hs,8.8,177,9,1.6
01/ENE/2022,06Hs,8.7,192,7,0.0
01/ENE/2022,09Hs,12.1,197,5,0.0
01/ENE/2022,12Hs,18.2,339,2,0.0
01/ENE/2022,15Hs,21.8,132,5,0.0
01/ENE/2022,18Hs,22.1,100,9,0.0
01/ENE/2022,21Hs,13.0,33,30,0.0
02/ENE/2022,00Hs,10.3,23,11,0.0
02/ENE/2022,03Hs,10.6,149,2,0.0
02/ENE/2022,06Hs,9.9,232,7,0.0
02/ENE/2022,09Hs,13.9,214,10,0.0
02/ENE/2022,12Hs,19.3,205,16,0.0
02/ENE/2022,15Hs,21.3,159,13,0.0
02/ENE/2022,18Hs,21.9,140,18,0.0
02/ENE/2022,21Hs,16.5,87,17,0.0
03/ENE/2022,00Hs,13.3,36,15,0.0
03/ENE/2022,03Hs,11.3,360,6,0.0
03/ENE/2022,06Hs,10.3,80,1,0.0
03/ENE/2022,09Hs,13.2,98,3,0.0
03/ENE/2022,12Hs,17.6,1,5,0.0
03/ENE/2022,15Hs,20.9,122,5,0.0
03/ENE/2022,18Hs,20.5,60,22,0.0
03/ENE/2022,21Hs,12.7,32,28,0.0
04/ENE/2022,00Hs,10.6,27,19,0.0
04/ENE/2022,03Hs,9.8,20,10,0.1
04/ENE/2022,06Hs,8.9,114,3,0.0
04/ENE/2022,09Hs,11.5,223,4,0.0
04/ENE/2022,12Hs,17.4,65,1,0.0
04/ENE/2022,15Hs,20.9,116,6,0.0
04/ENE/2022,18Hs,21.0,31,28,0.0
04/ENE/2022,21Hs,12.0,31,28,0.0
05/ENE/2022,00Hs,10.1,15,20,0.0
05/ENE/2022,03Hs,9.5,20,15,1.5
05/ENE/2022,06Hs,9.1,18,9,1.8
05/ENE/2022,09Hs,10.7,33,13,1.1
05/ENE/2022,12Hs,15.4,33,19,2.0
05/ENE/2022,15Hs,15.8,44,25,0.5
05/ENE/2022,18Hs,8.8,84,18,11.2
05/ENE/2022,21Hs,10.8,58,9,1.4
