date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,32.4,87,12,0.0
01/ENE/2022,03Hs,29.8,170,13,0.0
01/ENE/2022,06Hs,26.8,211,22,0.0
01/ENE/2022,09Hs,30.3,196,29,0.0
01/ENE/2022,12Hs,36.0,186,29,0.0
01/ENE/2022,15Hs,39.3,195,26,0.0
01/ENE/2022,18Hs,40.1,124,11,0.0
01/ENE/2022,21Hs,36.6,165,11,0.0
02/ENE/2022,00Hs,28.9,169,23,0.4
02/ENE/2022,03Hs,25.7,162,17,0.4
02/ENE/2022,06Hs,24.6,184,18,0.0
02/ENE/2022,09Hs,26.7,169,6,0.0
02/ENE/2022,12Hs,32.5,178,10,0.0
02/ENE/2022,15Hs,37.3,123,6,0.0
02/ENE/2022,18Hs,39.5,130,11,0.0
02/ENE/2022,21Hs,36.6,102,12,0.0
03/ENE/2022,00Hs,33.9,79,14,0.0
03/ENE/2022,03Hs,31.8,153,10,0.0
03/ENE/2022,06Hs,27.8,81,20,0.0
03/ENE/2022,09Hs,29.0,82,8,0.8
03/ENE/2022,12Hs,34.2,108,5,0.0
03/ENE/2022,15Hs,38.6,63,11,0.0
03/ENE/2022,18Hs,40.4,29,4,0.0
03/ENE/2022,21Hs,37.0,87,13,0.1
04/ENE/2022,00Hs,33.6,80,13,0.2
04/ENE/2022,03Hs,25.5,164,31,0.0
04/ENE/2022,06Hs,25.3,205,14,2.6
04/ENE/2022,09Hs,27.3,165,18,2.1
04/ENE/2022,12Hs,30.6,142,1,1.1
04/ENE/2022,15Hs,35.2,100,11,0.0
04/ENE/2022,18Hs,35.6,100,25,0.0
04/ENE/2022,21Hs,31.6,104,18,0.6
05/ENE/2022,00Hs,28.1,137,25,0.5
05/ENE/2022,03Hs,22.4,236,25,6.8
05/ENE/2022,06Hs,21.0,246,34,8.0
05/ENE/2022,09Hs,20.5,291,18,4.1
05/ENE/2022,12Hs,22.6,12,7,1.6
05/ENE/2022,15Hs,28.0,68,13,0.0
05/ENE/2022,18Hs,29.6,70,13,0.0
05/ENE/2022,21Hs,27.9,328,7,0.0
