date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,27.2,143,17,0.0
01/ENE/2022,03Hs,25.2,151,31,0.0
01/ENE/2022,06Hs,20.3,166,48,0.0
01/ENE/2022,09Hs,20.8,156,38,0.0
01/ENE/2022,12Hs,25.2,150,25,0.0
01/ENE/2022,15Hs,28.8,127,16,0.0
01/ENE/2022,18Hs,30.6,124,18,0.0
01/ENE/2022,21Hs,27.2,124,15,0.0
02/ENE/2022,00Hs,25.0,123,14,0.0
02/ENE/2022,03Hs,22.7,134,13,0.0
02/ENE/2022,06Hs,20.9,148,11,0.0
02/ENE/2022,09Hs,26.6,224,13,0.0
02/ENE/2022,12Hs,31.5,60,9,0.0
02/ENE/2022,15Hs,35.1,89,19,0.0
02/ENE/2022,18Hs,35.6,101,23,0.0
02/ENE/2022,21Hs,31.0,94,19,0.0
03/ENE/2022,00Hs,28.1,121,21,0.0
03/ENE/2022,03Hs,21.9,150,30,0.0
03/ENE/2022,06Hs,20.3,177,20,0.0
03/ENE/2022,09Hs,22.5,154,26,0.0
03/ENE/2022,12Hs,26.1,130,19,0.0
03/ENE/2022,15Hs,30.2,153,13,0.0
03/ENE/2022,18Hs,32.4,134,16,0.0
03/ENE/2022,21Hs,29.1,152,12,0.0
04/ENE/2022,00Hs,27.3,190,17,0.0
04/ENE/2022,03Hs,24.0,140,38,0.0
04/ENE/2022,06Hs,21.0,172,29,0.0
04/ENE/2022,09Hs,23.1,152,27,0.0
04/ENE/2022,12Hs,27.0,130,22,0.0
04/ENE/2022,15Hs,30.5,120,22,0.0
04/ENE/2022,18Hs,31.5,129,22,0.0
04/ENE/2022,21Hs,28.1,126,22,0.0
05/ENE/2022,00Hs,25.1,90,19,0.0
05/ENE/2022,03Hs,23.3,233,10,0.0
05/ENE/2022,06Hs,22.2,155,17,0.0
05/ENE/2022,09Hs,25.2,136,20,0.0
05/ENE/2022,12Hs,28.9,48,15,0.0
05/ENE/2022,15Hs,31.6,58,31,0.0
05/ENE/2022,18Hs,29.3,42,31,0.6
05/ENE/2022,21Hs,26.3,39,24,0.0
