date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,23.0,63,20,0.0
01/ENE/2022,03Hs,23.6,46,19,0.0
01/ENE/2022,06Hs,22.6,329,10,0.0
01/ENE/2022,09Hs,26.7,346,12,0.0
01/ENE/2022,12Hs,34.8,340,21,0.0
01/ENE/2022,15Hs,36.1,297,22,0.0
01/ENE/2022,18Hs,34.7,305,21,0.0
01/ENE/2022,21Hs,27.9,307,9,0.0
02/ENE/2022,00Hs,22.9,313,10,0.1
02/ENE/2022,03Hs,20.1,321,13,0.2
02/ENE/2022,06Hs,19.3,322,10,0.4
02/ENE/2022,09Hs,27.6,9,9,0.0
02/ENE/2022,12Hs,35.1,12,17,0.2
02/ENE/2022,15Hs,38.0,344,28,0.0
02/ENE/2022,18Hs,20.6,129,35,0.8
02/ENE/2022,21Hs,19.0,69,23,1.8
03/ENE/2022,00Hs,18.3,128,9,0.1
03/ENE/2022,03Hs,17.0,169,10,0.0
03/ENE/2022,06Hs,16.6,145,8,0.0
03/ENE/2022,09Hs,24.8,78,6,0.0
03/ENE/2022,12Hs,33.6,208,13,0.0
03/ENE/2022,15Hs,37.6,159,16,0.0
03/ENE/2022,18Hs,37.3,133,17,0.0
03/ENE/2022,21Hs,27.1,70,20,0.0
04/ENE/2022,00Hs,23.7,73,19,0.0
04/ENE/2022,03Hs,21.7,216,9,0.7
04/ENE/2022,06Hs,20.4,186,16,1.8
04/ENE/2022,09Hs,22.1,227,12,0.0
04/ENE/2022,12Hs,33.3,218,14,0.0
04/ENE/2022,15Hs,37.8,213,23,0.0
04/ENE/2022,18Hs,36.0,204,33,0.0
04/ENE/2022,21Hs,22.1,127,38,0.0
05/ENE/2022,00Hs,17.6,125,28,0.0
05/ENE/2022,03Hs,15.2,137,17,0.0
05/ENE/2022,06Hs,11.8,151,12,0.0
05/ENE/2022,09Hs,19.8,137,19,0.0
05/ENE/2022,12Hs,25.9,138,17,0.0
05/ENE/2022,15Hs,29.3,142,18,0.0
05/ENE/2022,18Hs,27.9,77,21,0.0
05/ENE/2022,21Hs,20.2,88,27,0.0
