date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,17.3,242,49,0.0
01/ENE/2022,03Hs,16.3,252,45,0.0
01/ENE/2022,06Hs,16.3,243,35,0.0
01/ENE/2022,09Hs,18.4,255,39,0.0
01/ENE/2022,12Hs,24.4,276,47,0.0
01/ENE/2022,15Hs,28.1,279,49,0.0
01/ENE/2022,18Hs,27.2,271,63,0.0
01/ENE/2022,21Hs,22.5,267,51,0.0
02/ENE/2022,00Hs,20.8,287,46,0.0
02/ENE/2022,03Hs,20.0,288,52,0.0
02/ENE/2022,06Hs,19.9,304,46,0.0
02/ENE/2022,09Hs,22.2,300,54,0.0
02/ENE/2022,12Hs,21.5,271,41,0.0
02/ENE/2022,15Hs,25.8,266,46,0.0
02/ENE/2022,18Hs,25.4,264,62,0.0
02/ENE/2022,21Hs,21.8,261,42,0.0
03/ENE/2022,00Hs,18.6,265,33,0.0
03/ENE/2022,03Hs,16.9,236,19,0.0
03/ENE/2022,06Hs,16.8,269,11,0.0
03/ENE/2022,09Hs,21.0,272,44,0.0
03/ENE/2022,12Hs,27.1,276,48,0.0
03/ENE/2022,15Hs,28.3,271,59,0.0
03/ENE/2022,18Hs,26.7,267,60,0.0
03/ENE/2022,21Hs,22.6,264,48,0.0
04/ENE/2022,00Hs,20.1,272,44,0.0
04/ENE/2022,03Hs,19.0,264,46,0.0
04/ENE/2022,06Hs,16.9,248,40,0.0
04/ENE/2022,09Hs,19.3,246,49,0.0
04/ENE/2022,12Hs,23.8,245,44,0.0
04/ENE/2022,15Hs,26.9,239,28,0.0
04/ENE/2022,18Hs,28.5,226,16,0.0
04/ENE/2022,21Hs,25.1,262,11,0.0
05/ENE/2022,00Hs,22.0,59,7,0.0
05/ENE/2022,03Hs,20.6,337,17,0.0
05/ENE/2022,06Hs,18.1,344,15,0.0
05/ENE/2022,09Hs,23.3,350,22,0.0
05/ENE/2022,12Hs,29.3,2,23,0.0
05/ENE/2022,15Hs,32.5,18,23,0.0
05/ENE/2022,18Hs,33.0,26,23,0.0
05/ENE/2022,21Hs,30.6,42,23,0.0
