date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.7,327,4,0.0
01/ENE/2022,03Hs,19.2,345,5,0.0
01/ENE/2022,06Hs,18.8,270,12,0.0
01/ENE/2022,09Hs,25.7,258,14,0.4
01/ENE/2022,12Hs,31.1,309,21,0.6
01/ENE/2022,15Hs,35.6,307,26,0.1
01/ENE/2022,18Hs,34.1,324,30,0.0
01/ENE/2022,21Hs,26.6,329,12,0.0
02/ENE/2022,00Hs,23.8,327,9,0.0
02/ENE/2022,03Hs,21.0,285,13,0.3
02/ENE/2022,06Hs,20.9,248,11,0.0
02/ENE/2022,09Hs,28.6,322,8,0.0
02/ENE/2022,12Hs,35.5,355,16,0.0
02/ENE/2022,15Hs,38.2,308,21,0.0
02/ENE/2022,18Hs,36.1,241,25,0.0
02/ENE/2022,21Hs,18.0,199,7,2.0
03/ENE/2022,00Hs,17.3,132,10,0.0
03/ENE/2022,03Hs,15.6,87,11,0.0
03/ENE/2022,06Hs,15.1,103,7,0.0
03/ENE/2022,09Hs,23.9,220,7,0.0
03/ENE/2022,12Hs,34.5,205,9,0.0
03/ENE/2022,15Hs,38.3,225,7,0.0
03/ENE/2022,18Hs,38.3,357,9,0.0
03/ENE/2022,21Hs,29.3,83,6,0.0
04/ENE/2022,00Hs,24.8,211,21,0.2
04/ENE/2022,03Hs,20.6,336,8,0.2
04/ENE/2022,06Hs,19.6,248,13,0.0
04/ENE/2022,09Hs,27.0,215,20,0.0
04/ENE/2022,12Hs,33.8,211,26,0.0
04/ENE/2022,15Hs,35.9,213,30,0.0
04/ENE/2022,18Hs,34.7,212,29,0.0
04/ENE/2022,21Hs,26.3,173,21,0.0
05/ENE/2022,00Hs,19.6,116,29,0.0
05/ENE/2022,03Hs,14.0,107,14,0.0
05/ENE/2022,06Hs,10.5,125,11,0.0
05/ENE/2022,09Hs,19.1,121,17,0.0
05/ENE/2022,12Hs,26.6,129,14,0.0
05/ENE/2022,15Hs,31.2,121,15,0.0
05/ENE/2022,18Hs,30.9,101,19,0.0
05/ENE/2022,21Hs,22.0,90,16,0.0
