date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.5,21,10,0.0
01/ENE/2022,03Hs,17.3,45,11,0.0
01/ENE/2022,06Hs,15.6,302,11,0.0
01/ENE/2022,09Hs,25.7,255,21,0.0
01/ENE/2022,12Hs,31.8,269,14,0.0
01/ENE/2022,15Hs,34.3,316,23,0.0
01/ENE/2022,18Hs,33.4,321,16,0.0
01/ENE/2022,21Hs,24.9,216,9,0.0
02/ENE/2022,00Hs,20.2,141,13,0.0
02/ENE/2022,03Hs,17.4,105,10,0.0
02/ENE/2022,06Hs,18.6,184,8,0.0
02/ENE/2022,09Hs,27.3,190,13,0.0
02/ENE/2022,12Hs,33.9,117,8,0.0
02/ENE/2022,15Hs,36.4,245,12,0.0
02/ENE/2022,18Hs,35.6,215,28,0.0
02/ENE/2022,21Hs,25.2,130,24,0.0
03/ENE/2022,00Hs,19.3,95,15,0.0
03/ENE/2022,03Hs,16.3,51,11,0.0
03/ENE/2022,06Hs,14.7,351,8,0.0
03/ENE/2022,09Hs,24.9,294,15,0.0
03/ENE/2022,12Hs,32.0,263,19,0.0
03/ENE/2022,15Hs,35.5,273,16,0.0
03/ENE/2022,18Hs,35.6,270,12,0.0
03/ENE/2022,21Hs,26.9,171,12,0.0
04/ENE/2022,00Hs,23.7,144,10,0.0
04/ENE/2022,03Hs,22.3,247,21,0.0
04/ENE/2022,06Hs,19.7,265,7,0.0
04/ENE/2022,09Hs,26.7,218,21,0.0
04/ENE/2022,12Hs,31.3,222,25,0.0
04/ENE/2022,15Hs,33.7,229,27,0.0
04/ENE/2022,18Hs,31.9,208,28,0.0
04/ENE/2022,21Hs,20.8,151,32,0.0
05/ENE/2022,00Hs,14.3,123,19,0.0
05/ENE/2022,03Hs,10.1,120,9,0.0
05/ENE/2022,06Hs,8.5,117,9,0.0
05/ENE/2022,09Hs,18.0,108,13,0.0
05/ENE/2022,12Hs,25.2,120,12,0.0
05/ENE/2022,15Hs,29.9,118,14,0.0
05/ENE/2022,18Hs,30.2,90,14,0.0
05/ENE/2022,21Hs,21.5,81,15,0.0
