date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,28.9,9,5,0.0
01/ENE/2022,03Hs,23.8,342,4,0.0
01/ENE/2022,06Hs,21.8,357,3,0.0
01/ENE/2022,09Hs,29.5,345,1,0.0
01/ENE/2022,12Hs,39.3,27,6,0.0
01/ENE/2022,15Hs,43.2,60,12,0.0
01/ENE/2022,18Hs,42.4,67,14,0.0
01/ENE/2022,21Hs,28.6,17,10,0.6
02/ENE/2022,00Hs,22.9,330,6,0.4
02/ENE/2022,03Hs,21.1,304,4,0.0
02/ENE/2022,06Hs,20.6,254,3,0.0
02/ENE/2022,09Hs,27.4,199,3,0.0
02/ENE/2022,12Hs,36.0,149,5,0.0
02/ENE/2022,15Hs,40.6,117,7,0.0
02/ENE/2022,18Hs,40.3,69,6,0.0
02/ENE/2022,21Hs,28.6,28,9,0.3
03/ENE/2022,00Hs,21.3,358,5,0.9
03/ENE/2022,03Hs,21.3,9,5,0.0
03/ENE/2022,06Hs,20.3,241,4,1.2
03/ENE/2022,09Hs,22.2,188,10,2.4
03/ENE/2022,12Hs,26.7,237,4,0.4
03/ENE/2022,15Hs,37.0,262,1,0.0
03/ENE/2022,18Hs,36.5,78,7,0.0
03/ENE/2022,21Hs,27.7,58,5,0.0
04/ENE/2022,00Hs,25.0,323,4,0.0
04/ENE/2022,03Hs,24.1,338,2,0.0
04/ENE/2022,06Hs,21.7,249,2,0.0
04/ENE/2022,09Hs,27.4,208,4,0.0
04/ENE/2022,12Hs,37.3,131,3,0.0
04/ENE/2022,15Hs,39.5,102,10,0.0
04/ENE/2022,18Hs,21.8,174,20,0.9
04/ENE/2022,21Hs,19.7,304,4,7.5
05/ENE/2022,00Hs,19.6,11,6,0.9
05/ENE/2022,03Hs,19.3,307,3,2.0
05/ENE/2022,06Hs,19.2,315,3,0.0
05/ENE/2022,09Hs,23.0,286,2,0.0
05/ENE/2022,12Hs,31.3,180,9,0.0
05/ENE/2022,15Hs,35.5,152,9,0.0
05/ENE/2022,18Hs,31.3,211,5,0.0
05/ENE/2022,21Hs,24.6,318,6,0.0
