date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.2,42,8,0.0
01/ENE/2022,03Hs,24.1,69,13,0.0
01/ENE/2022,06Hs,23.9,50,12,0.0
01/ENE/2022,09Hs,30.7,22,17,0.0
01/ENE/2022,12Hs,39.1,24,18,0.0
01/ENE/2022,15Hs,42.4,37,15,0.0
01/ENE/2022,18Hs,41.8,42,15,0.0
01/ENE/2022,21Hs,31.7,59,11,0.0
02/ENE/2022,00Hs,29.3,74,12,0.0
02/ENE/2022,03Hs,31.8,34,15,0.0
02/ENE/2022,06Hs,23.1,179,14,0.7
02/ENE/2022,09Hs,27.9,61,10,0.2
02/ENE/2022,12Hs,33.6,23,15,1.1
02/ENE/2022,15Hs,42.5,40,15,0.0
02/ENE/2022,18Hs,41.8,48,10,0.0
02/ENE/2022,21Hs,25.7,113,26,0.6
03/ENE/2022,00Hs,21.5,170,11,1.9
03/ENE/2022,03Hs,21.2,67,19,4.8
03/ENE/2022,06Hs,21.5,349,15,2.0
03/ENE/2022,09Hs,23.0,145,10,0.2
03/ENE/2022,12Hs,31.4,2,4,0.0
03/ENE/2022,15Hs,35.9,55,5,0.0
03/ENE/2022,18Hs,36.2,84,8,0.0
03/ENE/2022,21Hs,29.2,64,8,0.0
04/ENE/2022,00Hs,26.2,43,10,0.0
04/ENE/2022,03Hs,23.6,14,14,0.1
04/ENE/2022,06Hs,20.9,16,9,0.4
04/ENE/2022,09Hs,26.4,20,7,0.3
04/ENE/2022,12Hs,35.9,200,8,0.0
04/ENE/2022,15Hs,31.6,197,25,0.0
04/ENE/2022,18Hs,25.1,319,15,0.8
04/ENE/2022,21Hs,22.6,259,7,1.2
05/ENE/2022,00Hs,22.2,194,2,0.3
05/ENE/2022,03Hs,20.1,80,8,1.6
05/ENE/2022,06Hs,20.3,291,6,0.9
05/ENE/2022,09Hs,26.2,231,7,0.0
05/ENE/2022,12Hs,35.2,165,8,0.0
05/ENE/2022,15Hs,37.7,153,11,0.0
05/ENE/2022,18Hs,30.1,187,7,0.1
05/ENE/2022,21Hs,27.6,171,6,0.0
