date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.6,247,11,0.0
01/ENE/2022,03Hs,18.0,206,9,0.0
01/ENE/2022,06Hs,17.2,292,9,0.4
01/ENE/2022,09Hs,24.4,237,15,0.2
01/ENE/2022,12Hs,29.0,258,11,1.2
01/ENE/2022,15Hs,34.8,306,15,0.6
01/ENE/2022,18Hs,34.7,312,16,0.0
01/ENE/2022,21Hs,26.7,260,6,0.0
02/ENE/2022,00Hs,22.5,185,4,0.0
02/ENE/2022,03Hs,19.6,15,9,0.2
02/ENE/2022,06Hs,19.9,184,6,0.0
02/ENE/2022,09Hs,29.3,158,14,0.0
02/ENE/2022,12Hs,34.0,32,14,0.2
02/ENE/2022,15Hs,34.8,253,11,0.7
02/ENE/2022,18Hs,36.3,254,30,0.1
02/ENE/2022,21Hs,30.3,161,24,0.0
03/ENE/2022,00Hs,21.6,94,14,0.0
03/ENE/2022,03Hs,17.0,79,11,0.0
03/ENE/2022,06Hs,15.1,67,9,0.0
03/ENE/2022,09Hs,27.1,210,8,0.0
03/ENE/2022,12Hs,33.8,225,10,0.0
03/ENE/2022,15Hs,38.6,312,6,0.0
03/ENE/2022,18Hs,38.3,326,11,0.0
03/ENE/2022,21Hs,23.1,241,13,1.2
04/ENE/2022,00Hs,21.7,19,17,2.2
04/ENE/2022,03Hs,20.1,243,11,0.0
04/ENE/2022,06Hs,18.0,236,13,0.0
04/ENE/2022,09Hs,27.1,198,25,0.0
04/ENE/2022,12Hs,32.7,207,27,0.0
04/ENE/2022,15Hs,35.0,216,29,0.0
04/ENE/2022,18Hs,34.1,215,27,0.0
04/ENE/2022,21Hs,25.5,177,18,0.0
05/ENE/2022,00Hs,20.2,113,29,0.0
05/ENE/2022,03Hs,14.9,102,17,0.0
05/ENE/2022,06Hs,10.9,96,11,0.0
05/ENE/2022,09Hs,19.6,97,16,0.0
05/ENE/2022,12Hs,27.4,123,15,0.0
05/ENE/2022,15Hs,32.0,123,17,0.0
05/ENE/2022,18Hs,32.0,109,18,0.0
05/ENE/2022,21Hs,22.9,83,15,0.0
