date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,6.8,316,28,0.0
01/ENE/2022,03Hs,5.9,296,15,0.0
01/ENE/2022,06Hs,4.8,300,12,0.0
01/ENE/2022,09Hs,7.0,266,7,0.0
01/ENE/2022,12Hs,13.6,279,33,0.0
01/ENE/2022,15Hs,13.5,273,48,0.0
01/ENE/2022,18Hs,15.5,274,52,0.0
01/ENE/2022,21Hs,11.3,295,45,0.0
02/ENE/2022,00Hs,7.1,303,37,0.0
02/ENE/2022,03Hs,6.6,285,34,0.0
02/ENE/2022,06Hs,5.4,283,30,0.0
02/ENE/2022,09Hs,7.8,275,35,0.0
02/ENE/2022,12Hs,10.9,283,36,0.0
02/ENE/2022,15Hs,13.3,279,36,0.0
02/ENE/2022,18Hs,12.8,279,46,0.0
02/ENE/2022,21Hs,9.7,282,34,0.0
03/ENE/2022,00Hs,7.1,309,19,0.0
03/ENE/2022,03Hs,5.5,277,12,0.0
03/ENE/2022,06Hs,5.6,303,13,0.0
03/ENE/2022,09Hs,9.8,268,34,0.0
03/ENE/2022,12Hs,14.0,281,43,0.0
03/ENE/2022,15Hs,14.8,276,63,0.0
03/ENE/2022,18Hs,12.2,279,62,0.0
03/ENE/2022,21Hs,8.6,269,45,0.0
04/ENE/2022,00Hs,7.1,284,30,0.0
04/ENE/2022,03Hs,6.2,290,37,0.0
04/ENE/2022,06Hs,5.6,287,36,0.0
04/ENE/2022,09Hs,9.3,280,47,0.0
04/ENE/2022,12Hs,12.3,280,52,0.0
04/ENE/2022,15Hs,14.0,282,56,0.0
04/ENE/2022,18Hs,13.3,287,60,0.0
04/ENE/2022,21Hs,10.1,286,49,0.0
05/ENE/2022,00Hs,8.3,285,43,0.0
05/ENE/2022,03Hs,7.4,290,36,0.0
05/ENE/2022,06Hs,6.7,292,38,0.0
05/ENE/2022,09Hs,10.5,288,40,0.0
05/ENE/2022,12Hs,16.6,280,38,0.0
05/ENE/2022,15Hs,19.2,278,36,0.0
05/ENE/2022,18Hs,19.5,276,42,0.0
05/ENE/2022,21Hs,15.9,291,40,0.0
