date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,19.1,171,12,0.0
01/ENE/2022,03Hs,17.7,144,10,0.0
01/ENE/2022,06Hs,15.5,214,14,0.0
01/ENE/2022,09Hs,21.3,208,21,0.0
01/ENE/2022,12Hs,26.8,230,20,0.0
01/ENE/2022,15Hs,29.9,259,19,0.0
01/ENE/2022,18Hs,30.1,257,18,0.0
01/ENE/2022,21Hs,22.7,261,7,0.0
02/ENE/2022,00Hs,20.5,295,7,0.0
02/ENE/2022,03Hs,19.4,196,10,0.0
02/ENE/2022,06Hs,19.0,181,10,0.0
02/ENE/2022,09Hs,24.9,229,21,0.0
02/ENE/2022,12Hs,29.1,242,15,0.0
02/ENE/2022,15Hs,30.2,230,21,0.0
02/ENE/2022,18Hs,28.0,217,31,0.0
02/ENE/2022,21Hs,23.7,220,20,0.0
03/ENE/2022,00Hs,19.0,259,7,0.0
03/ENE/2022,03Hs,14.8,217,6,0.0
03/ENE/2022,06Hs,14.1,5,12,0.0
03/ENE/2022,09Hs,23.1,286,19,0.0
03/ENE/2022,12Hs,28.2,250,18,0.0
03/ENE/2022,15Hs,31.0,258,21,0.0
03/ENE/2022,18Hs,31.8,277,24,0.0
03/ENE/2022,21Hs,24.6,222,5,0.0
04/ENE/2022,00Hs,23.7,211,21,0.0
04/ENE/2022,03Hs,21.0,219,25,0.0
04/ENE/2022,06Hs,19.1,229,20,0.0
04/ENE/2022,09Hs,22.2,225,33,0.0
04/ENE/2022,12Hs,26.5,221,30,0.0
04/ENE/2022,15Hs,28.5,216,27,0.0
04/ENE/2022,18Hs,27.4,189,27,0.0
04/ENE/2022,21Hs,18.9,139,21,0.0
05/ENE/2022,00Hs,12.9,104,13,0.0
05/ENE/2022,03Hs,12.0,63,13,0.0
05/ENE/2022,06Hs,10.9,48,12,0.0
05/ENE/2022,09Hs,19.3,46,12,0.0
05/ENE/2022,12Hs,27.1,78,4,0.0
05/ENE/2022,15Hs,30.3,133,9,0.0
05/ENE/2022,18Hs,30.4,113,10,0.0
05/ENE/2022,21Hs,22.0,57,14,0.0
