date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.4,309,10,0.0
01/ENE/2022,03Hs,23.4,294,8,0.0
01/ENE/2022,06Hs,22.1,70,8,0.0
01/ENE/2022,09Hs,25.0,351,7,1.2
01/ENE/2022,12Hs,31.6,22,14,1.0
01/ENE/2022,15Hs,35.0,39,21,0.8
01/ENE/2022,18Hs,37.4,108,14,0.0
01/ENE/2022,21Hs,20.1,99,28,6.2
02/ENE/2022,00Hs,19.3,249,9,0.1
02/ENE/2022,03Hs,19.2,296,9,0.4
02/ENE/2022,06Hs,19.0,14,7,0.2
02/ENE/2022,09Hs,23.6,25,14,0.0
02/ENE/2022,12Hs,32.3,23,19,0.1
02/ENE/2022,15Hs,37.8,76,19,0.0
02/ENE/2022,18Hs,34.9,50,24,0.0
02/ENE/2022,21Hs,23.9,336,15,0.1
03/ENE/2022,00Hs,23.9,195,15,0.0
03/ENE/2022,03Hs,23.7,172,24,0.0
03/ENE/2022,06Hs,21.4,207,20,0.0
03/ENE/2022,09Hs,25.2,179,20,0.0
03/ENE/2022,12Hs,31.5,136,14,0.0
03/ENE/2022,15Hs,35.4,83,14,0.0
03/ENE/2022,18Hs,35.0,144,14,0.0
03/ENE/2022,21Hs,27.4,152,9,0.0
04/ENE/2022,00Hs,19.1,180,22,0.6
04/ENE/2022,03Hs,19.9,293,24,1.5
04/ENE/2022,06Hs,19.4,330,7,0.9
04/ENE/2022,09Hs,22.3,171,14,0.0
04/ENE/2022,12Hs,28.6,163,13,0.0
04/ENE/2022,15Hs,32.3,177,14,0.0
04/ENE/2022,18Hs,27.3,235,29,0.0
04/ENE/2022,21Hs,23.7,232,17,0.0
05/ENE/2022,00Hs,23.5,217,16,0.0
05/ENE/2022,03Hs,22.8,204,16,0.0
05/ENE/2022,06Hs,19.7,205,17,0.0
05/ENE/2022,09Hs,21.7,177,18,0.0
05/ENE/2022,12Hs,27.4,146,15,0.0
05/ENE/2022,15Hs,31.7,125,14,0.0
05/ENE/2022,18Hs,31.6,127,15,0.0
05/ENE/2022,21Hs,25.3,135,12,0.0
