date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,12.7,89,11,0.0
01/ENE/2022,03Hs,11.4,60,9,0.0
01/ENE/2022,06Hs,10.7,344,20,0.0
01/ENE/2022,09Hs,14.7,320,39,0.0
01/ENE/2022,12Hs,19.1,315,50,0.0
01/ENE/2022,15Hs,20.8,344,58,0.0
01/ENE/2022,18Hs,24.8,316,52,0.0
01/ENE/2022,21Hs,21.8,284,44,0.0
02/ENE/2022,00Hs,15.6,234,31,0.0
02/ENE/2022,03Hs,12.6,255,15,0.0
02/ENE/2022,06Hs,12.2,231,23,0.0
02/ENE/2022,09Hs,10.4,204,33,0.0
02/ENE/2022,12Hs,14.0,230,24,0.0
02/ENE/2022,15Hs,16.4,284,24,0.0
02/ENE/2022,18Hs,13.5,70,26,0.0
02/ENE/2022,21Hs,15.7,170,5,0.0
03/ENE/2022,00Hs,13.8,260,23,0.0
03/ENE/2022,03Hs,11.1,257,18,0.0
03/ENE/2022,06Hs,10.7,327,26,0.0
03/ENE/2022,09Hs,13.8,325,46,0.0
03/ENE/2022,12Hs,19.8,308,60,0.0
03/ENE/2022,15Hs,22.7,255,50,0.1
03/ENE/2022,18Hs,20.7,239,65,0.0
03/ENE/2022,21Hs,18.6,271,50,0.0
04/ENE/2022,00Hs,12.5,222,24,0.0
04/ENE/2022,03Hs,11.1,215,28,0.0
04/ENE/2022,06Hs,9.7,197,36,0.0
04/ENE/2022,09Hs,11.0,206,44,0.0
04/ENE/2022,12Hs,13.3,200,41,0.0
04/ENE/2022,15Hs,15.1,180,34,0.0
04/ENE/2022,18Hs,14.5,140,26,0.0
04/ENE/2022,21Hs,11.2,63,23,0.0
05/ENE/2022,00Hs,9.8,42,14,0.0
05/ENE/2022,03Hs,9.3,51,20,0.0
05/ENE/2022,06Hs,10.5,336,18,0.0
05/ENE/2022,09Hs,15.5,247,26,0.0
05/ENE/2022,12Hs,21.3,240,20,0.0
05/ENE/2022,15Hs,24.3,169,9,0.0
05/ENE/2022,18Hs,22.0,88,26,0.0
05/ENE/2022,21Hs,20.5,6,32,0.0
