date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.0,60,19,0.0
01/ENE/2022,03Hs,22.0,30,23,0.0
01/ENE/2022,06Hs,21.5,23,21,0.0
01/ENE/2022,09Hs,26.8,335,25,0.0
01/ENE/2022,12Hs,36.3,328,23,0.0
01/ENE/2022,15Hs,36.2,318,28,0.0
01/ENE/2022,18Hs,36.6,279,21,0.0
01/ENE/2022,21Hs,21.2,145,14,0.5
02/ENE/2022,00Hs,21.6,53,12,0.0
02/ENE/2022,03Hs,20.3,347,8,0.1
02/ENE/2022,06Hs,18.0,292,9,1.3
02/ENE/2022,09Hs,21.0,308,7,1.0
02/ENE/2022,12Hs,32.6,345,18,0.0
02/ENE/2022,15Hs,37.2,356,30,0.0
02/ENE/2022,18Hs,19.9,256,12,4.4
02/ENE/2022,21Hs,18.8,190,2,4.9
03/ENE/2022,00Hs,17.1,85,11,0.0
03/ENE/2022,03Hs,17.0,168,9,0.0
03/ENE/2022,06Hs,17.7,55,6,0.0
03/ENE/2022,09Hs,24.6,10,8,0.0
03/ENE/2022,12Hs,31.5,269,12,0.0
03/ENE/2022,15Hs,35.2,265,10,0.0
03/ENE/2022,18Hs,31.4,81,22,0.0
03/ENE/2022,21Hs,22.6,50,17,0.0
04/ENE/2022,00Hs,22.8,39,20,0.0
04/ENE/2022,03Hs,23.7,9,20,0.0
04/ENE/2022,06Hs,21.0,222,8,0.3
04/ENE/2022,09Hs,24.7,9,1,0.6
04/ENE/2022,12Hs,31.7,280,19,0.0
04/ENE/2022,15Hs,34.7,285,9,0.0
04/ENE/2022,18Hs,24.5,119,39,0.0
04/ENE/2022,21Hs,18.4,139,33,0.0
05/ENE/2022,00Hs,16.4,149,20,0.0
05/ENE/2022,03Hs,12.3,175,11,0.0
05/ENE/2022,06Hs,11.0,165,12,0.0
05/ENE/2022,09Hs,19.5,142,18,0.0
05/ENE/2022,12Hs,25.3,112,17,0.0
05/ENE/2022,15Hs,25.8,92,28,0.0
05/ENE/2022,18Hs,21.3,101,28,0.0
05/ENE/2022,21Hs,16.7,95,18,0.0
