date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,26.3,42,10,0.0
01/ENE/2022,03Hs,24.1,29,9,0.0
01/ENE/2022,06Hs,22.8,38,9,0.0
01/ENE/2022,09Hs,32.2,34,18,0.0
01/ENE/2022,12Hs,39.1,20,20,0.0
01/ENE/2022,15Hs,42.3,25,12,0.0
01/ENE/2022,18Hs,41.7,21,14,0.0
01/ENE/2022,21Hs,30.9,205,11,0.0
02/ENE/2022,00Hs,26.9,126,10,0.0
02/ENE/2022,03Hs,27.1,199,18,0.0
02/ENE/2022,06Hs,27.9,87,13,0.0
02/ENE/2022,09Hs,33.9,47,15,0.0
02/ENE/2022,12Hs,40.2,346,17,0.0
02/ENE/2022,15Hs,40.8,310,16,0.0
02/ENE/2022,18Hs,29.0,322,25,0.0
02/ENE/2022,21Hs,24.9,212,22,1.5
03/ENE/2022,00Hs,24.7,354,8,0.3
03/ENE/2022,03Hs,22.0,34,5,0.0
03/ENE/2022,06Hs,20.9,121,4,0.0
03/ENE/2022,09Hs,28.2,292,11,0.0
03/ENE/2022,12Hs,35.6,254,10,0.0
03/ENE/2022,15Hs,39.3,254,8,0.0
03/ENE/2022,18Hs,38.8,218,5,0.0
03/ENE/2022,21Hs,30.3,30,4,0.0
04/ENE/2022,00Hs,26.2,57,8,0.0
04/ENE/2022,03Hs,23.2,39,7,0.0
04/ENE/2022,06Hs,21.6,7,8,0.5
04/ENE/2022,09Hs,23.2,163,8,2.6
04/ENE/2022,12Hs,31.1,322,4,0.3
04/ENE/2022,15Hs,33.1,206,9,0.0
04/ENE/2022,18Hs,32.6,148,10,0.0
04/ENE/2022,21Hs,27.1,95,3,0.0
05/ENE/2022,00Hs,24.7,84,7,0.1
05/ENE/2022,03Hs,22.3,34,8,0.0
05/ENE/2022,06Hs,21.5,10,5,0.0
05/ENE/2022,09Hs,30.2,158,6,0.0
05/ENE/2022,12Hs,35.1,135,14,0.0
05/ENE/2022,15Hs,38.0,149,16,0.0
05/ENE/2022,18Hs,36.9,141,19,0.0
05/ENE/2022,21Hs,30.0,123,12,0.0
