date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.9,73,10,0.0
01/ENE/2022,03Hs,23.8,37,9,0.0
01/ENE/2022,06Hs,22.5,41,9,0.0
01/ENE/2022,09Hs,31.7,36,17,0.0
01/ENE/2022,12Hs,38.8,25,18,0.0
01/ENE/2022,15Hs,42.0,28,13,0.0
01/ENE/2022,18Hs,41.1,32,14,0.0
01/ENE/2022,21Hs,31.2,85,11,0.0
02/ENE/2022,00Hs,29.7,50,11,0.0
02/ENE/2022,03Hs,30.2,36,18,0.0
02/ENE/2022,06Hs,27.8,213,12,0.0
02/ENE/2022,09Hs,29.4,67,9,0.0
02/ENE/2022,12Hs,37.4,4,17,0.0
02/ENE/2022,15Hs,37.2,328,14,0.0
02/ENE/2022,18Hs,39.7,63,2,0.0
02/ENE/2022,21Hs,22.3,85,15,6.1
03/ENE/2022,00Hs,22.9,292,10,0.2
03/ENE/2022,03Hs,22.1,83,12,0.0
03/ENE/2022,06Hs,21.9,38,8,0.0
03/ENE/2022,09Hs,27.3,279,8,0.0
03/ENE/2022,12Hs,33.8,278,10,0.0
03/ENE/2022,15Hs,38.2,292,12,0.0
03/ENE/2022,18Hs,35.5,131,9,0.4
03/ENE/2022,21Hs,25.4,42,6,1.5
04/ENE/2022,00Hs,24.7,54,6,0.0
04/ENE/2022,03Hs,24.1,13,11,0.0
04/ENE/2022,06Hs,20.2,15,7,1.1
04/ENE/2022,09Hs,25.4,347,6,0.5
04/ENE/2022,12Hs,31.8,221,11,0.0
04/ENE/2022,15Hs,33.4,249,8,0.0
04/ENE/2022,18Hs,34.9,163,6,0.0
04/ENE/2022,21Hs,22.5,358,9,11.8
05/ENE/2022,00Hs,22.9,157,9,0.2
05/ENE/2022,03Hs,22.3,81,6,0.0
05/ENE/2022,06Hs,21.1,170,6,0.0
05/ENE/2022,09Hs,28.5,231,5,0.0
05/ENE/2022,12Hs,34.9,152,12,0.0
05/ENE/2022,15Hs,37.5,147,15,0.0
05/ENE/2022,18Hs,34.7,157,10,0.0
05/ENE/2022,21Hs,29.6,109,19,0.0
