date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,20.3,258,10,0.0
01/ENE/2022,03Hs,19.5,236,24,0.0
01/ENE/2022,06Hs,17.7,257,27,0.0
01/ENE/2022,09Hs,21.2,238,26,0.0
01/ENE/2022,12Hs,26.9,269,23,0.0
01/ENE/2022,15Hs,31.0,274,36,0.0
01/ENE/2022,18Hs,31.9,269,39,0.0
01/ENE/2022,21Hs,27.2,273,21,0.0
02/ENE/2022,00Hs,23.8,269,24,0.0
02/ENE/2022,03Hs,22.1,283,24,0.0
02/ENE/2022,06Hs,21.9,273,28,0.0
02/ENE/2022,09Hs,26.2,259,42,0.0
02/ENE/2022,12Hs,29.9,256,50,0.0
02/ENE/2022,15Hs,26.9,253,57,0.0
02/ENE/2022,18Hs,28.2,240,46,0.0
02/ENE/2022,21Hs,25.2,258,28,0.0
03/ENE/2022,00Hs,14.5,110,12,0.0
03/ENE/2022,03Hs,12.7,10,13,0.0
03/ENE/2022,06Hs,12.6,308,12,0.0
03/ENE/2022,09Hs,23.2,290,19,0.0
03/ENE/2022,12Hs,27.8,282,30,0.0
03/ENE/2022,15Hs,32.7,286,40,0.0
03/ENE/2022,18Hs,32.7,291,42,0.0
03/ENE/2022,21Hs,27.6,244,29,0.0
04/ENE/2022,00Hs,23.6,250,37,0.0
04/ENE/2022,03Hs,20.0,270,24,0.0
04/ENE/2022,06Hs,18.1,264,23,0.0
04/ENE/2022,09Hs,23.1,233,41,0.0
04/ENE/2022,12Hs,26.3,214,33,0.0
04/ENE/2022,15Hs,28.0,197,29,0.0
04/ENE/2022,18Hs,27.4,177,23,0.0
04/ENE/2022,21Hs,20.6,125,19,0.0
05/ENE/2022,00Hs,15.1,70,22,0.0
05/ENE/2022,03Hs,12.7,47,13,0.0
05/ENE/2022,06Hs,11.3,41,11,0.0
05/ENE/2022,09Hs,20.6,352,18,0.0
05/ENE/2022,12Hs,28.1,348,18,0.0
05/ENE/2022,15Hs,31.9,348,11,0.0
05/ENE/2022,18Hs,32.8,1,8,0.0
05/ENE/2022,21Hs,25.0,34,12,0.0
