date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,23.9,350,16,0.0
01/ENE/2022,03Hs,22.2,343,15,0.1
01/ENE/2022,06Hs,18.1,49,15,0.2
01/ENE/2022,09Hs,21.7,92,12,0.9
01/ENE/2022,12Hs,28.5,75,16,0.2
01/ENE/2022,15Hs,32.8,102,22,0.3
01/ENE/2022,18Hs,20.6,65,36,1.8
01/ENE/2022,21Hs,18.5,242,12,1.4
02/ENE/2022,00Hs,18.9,335,19,1.5
02/ENE/2022,03Hs,17.4,24,11,0.2
02/ENE/2022,06Hs,17.5,61,11,0.2
02/ENE/2022,09Hs,22.8,36,18,0.2
02/ENE/2022,12Hs,30.9,25,19,0.0
02/ENE/2022,15Hs,37.2,45,18,0.0
02/ENE/2022,18Hs,38.6,205,26,0.0
02/ENE/2022,21Hs,20.8,188,6,0.0
03/ENE/2022,00Hs,20.8,265,11,0.0
03/ENE/2022,03Hs,20.6,184,23,0.0
03/ENE/2022,06Hs,16.0,231,13,0.0
03/ENE/2022,09Hs,23.0,173,7,0.0
03/ENE/2022,12Hs,30.4,103,13,0.0
03/ENE/2022,15Hs,35.0,44,21,0.0
03/ENE/2022,18Hs,34.2,62,17,0.0
03/ENE/2022,21Hs,18.6,146,24,1.6
04/ENE/2022,00Hs,17.3,331,24,4.1
04/ENE/2022,03Hs,18.4,328,9,1.3
04/ENE/2022,06Hs,16.5,205,8,0.0
04/ENE/2022,09Hs,20.8,185,19,0.0
04/ENE/2022,12Hs,28.4,149,19,0.0
04/ENE/2022,15Hs,31.7,139,19,0.0
04/ENE/2022,18Hs,31.7,134,18,0.0
04/ENE/2022,21Hs,24.4,144,9,0.0
05/ENE/2022,00Hs,21.2,165,8,0.0
05/ENE/2022,03Hs,18.5,225,8,0.0
05/ENE/2022,06Hs,15.1,217,7,0.0
05/ENE/2022,09Hs,19.6,85,11,0.0
05/ENE/2022,12Hs,26.0,70,14,0.0
05/ENE/2022,15Hs,30.3,70,15,0.0
05/ENE/2022,18Hs,31.0,89,16,0.0
05/ENE/2022,21Hs,23.6,120,15,0.0
