date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,8.3,258,8,0.0
01/ENE/2022,03Hs,8.7,40,27,0.0
01/ENE/2022,06Hs,9.1,23,33,0.0
01/ENE/2022,09Hs,12.0,5,38,0.0
01/ENE/2022,12Hs,15.5,344,37,0.0
01/ENE/2022,15Hs,19.6,340,33,0.0
01/ENE/2022,18Hs,12.5,228,30,1.3
01/ENE/2022,21Hs,11.2,247,44,0.0
02/ENE/2022,00Hs,6.7,250,35,0.0
02/ENE/2022,03Hs,4.5,255,42,0.0
02/ENE/2022,06Hs,4.3,255,46,0.0
02/ENE/2022,09Hs,7.6,248,50,0.0
02/ENE/2022,12Hs,10.4,253,51,0.0
02/ENE/2022,15Hs,11.5,251,52,0.0
02/ENE/2022,18Hs,11.8,256,59,0.0
02/ENE/2022,21Hs,8.7,254,46,0.0
03/ENE/2022,00Hs,6.3,253,26,0.0
03/ENE/2022,03Hs,6.2,280,10,0.0
03/ENE/2022,06Hs,5.7,37,18,0.0
03/ENE/2022,09Hs,9.0,5,42,0.0
03/ENE/2022,12Hs,10.3,13,22,0.9
03/ENE/2022,15Hs,14.2,244,19,0.0
03/ENE/2022,18Hs,11.6,227,43,0.0
03/ENE/2022,21Hs,8.9,202,35,0.0
04/ENE/2022,00Hs,5.8,221,42,0.0
04/ENE/2022,03Hs,4.6,240,49,0.0
04/ENE/2022,06Hs,3.9,243,46,0.0
04/ENE/2022,09Hs,6.9,241,54,0.0
04/ENE/2022,12Hs,10.9,238,59,0.0
04/ENE/2022,15Hs,11.7,245,62,0.0
04/ENE/2022,18Hs,10.4,243,56,0.0
04/ENE/2022,21Hs,8.9,236,27,0.0
05/ENE/2022,00Hs,7.7,320,17,0.0
05/ENE/2022,03Hs,8.4,329,29,0.0
05/ENE/2022,06Hs,7.1,296,23,0.0
05/ENE/2022,09Hs,11.9,259,41,0.0
05/ENE/2022,12Hs,16.8,245,54,0.0
05/ENE/2022,15Hs,19.3,242,48,0.0
05/ENE/2022,18Hs,18.4,253,41,0.0
05/ENE/2022,21Hs,13.6,358,10,1.7
