date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,6.5,287,29,0.0
01/ENE/2022,03Hs,6.2,329,22,0.0
01/ENE/2022,06Hs,7.5,351,30,0.0
01/ENE/2022,09Hs,9.0,15,52,0.0
01/ENE/2022,12Hs,9.8,359,53,0.0
01/ENE/2022,15Hs,9.8,360,34,0.2
01/ENE/2022,18Hs,8.5,306,17,3.4
01/ENE/2022,21Hs,8.7,297,15,4.9
02/ENE/2022,00Hs,5.2,265,45,0.0
02/ENE/2022,03Hs,4.6,262,52,0.0
02/ENE/2022,06Hs,5.0,253,50,0.0
02/ENE/2022,09Hs,6.4,266,55,0.0
02/ENE/2022,12Hs,8.6,259,56,0.0
02/ENE/2022,15Hs,9.7,257,58,0.0
02/ENE/2022,18Hs,8.5,259,57,0.0
02/ENE/2022,21Hs,6.2,263,52,0.0
03/ENE/2022,00Hs,4.3,274,46,0.0
03/ENE/2022,03Hs,4.4,281,41,0.0
03/ENE/2022,06Hs,4.4,302,35,0.0
03/ENE/2022,09Hs,6.3,305,31,0.0
03/ENE/2022,12Hs,6.0,314,24,0.4
03/ENE/2022,15Hs,5.2,224,16,1.0
03/ENE/2022,18Hs,7.3,315,18,0.1
03/ENE/2022,21Hs,8.8,251,31,0.0
04/ENE/2022,00Hs,5.5,96,32,0.0
04/ENE/2022,03Hs,4.1,268,27,0.0
04/ENE/2022,06Hs,5.2,246,40,0.0
04/ENE/2022,09Hs,7.5,243,49,0.0
04/ENE/2022,12Hs,9.4,250,41,0.0
04/ENE/2022,15Hs,10.6,252,50,0.0
04/ENE/2022,18Hs,9.1,254,55,0.0
04/ENE/2022,21Hs,7.0,262,45,0.0
05/ENE/2022,00Hs,5.5,286,41,0.0
05/ENE/2022,03Hs,5.6,306,31,0.2
05/ENE/2022,06Hs,7.6,277,33,0.9
05/ENE/2022,09Hs,9.1,264,47,0.0
05/ENE/2022,12Hs,11.6,252,46,0.0
05/ENE/2022,15Hs,13.1,259,45,0.0
05/ENE/2022,18Hs,12.7,265,44,0.0
05/ENE/2022,21Hs,10.9,270,37,0.0
