date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.0,262,1,0.0
01/ENE/2022,03Hs,21.0,231,2,0.0
01/ENE/2022,06Hs,19.5,234,5,0.0
01/ENE/2022,09Hs,26.9,52,4,0.0
01/ENE/2022,12Hs,32.5,47,17,0.0
01/ENE/2022,15Hs,36.5,48,20,0.0
01/ENE/2022,18Hs,35.3,33,20,0.0
01/ENE/2022,21Hs,22.1,285,5,1.4
02/ENE/2022,00Hs,19.8,218,11,1.2
02/ENE/2022,03Hs,19.0,238,9,0.5
02/ENE/2022,06Hs,18.7,253,8,0.0
02/ENE/2022,09Hs,27.1,239,1,0.0
02/ENE/2022,12Hs,33.2,55,13,0.0
02/ENE/2022,15Hs,37.0,55,16,0.0
02/ENE/2022,18Hs,36.2,34,17,0.0
02/ENE/2022,21Hs,26.0,126,5,0.1
03/ENE/2022,00Hs,18.2,268,16,11.2
03/ENE/2022,03Hs,17.3,245,14,0.7
03/ENE/2022,06Hs,17.5,237,12,0.5
03/ENE/2022,09Hs,23.3,179,4,0.5
03/ENE/2022,12Hs,28.7,58,17,0.0
03/ENE/2022,15Hs,31.6,58,13,0.0
03/ENE/2022,18Hs,31.9,43,9,0.0
03/ENE/2022,21Hs,22.4,268,3,0.8
04/ENE/2022,00Hs,20.0,183,2,0.4
04/ENE/2022,03Hs,18.2,248,6,1.9
04/ENE/2022,06Hs,17.8,238,8,0.0
04/ENE/2022,09Hs,23.5,232,5,0.0
04/ENE/2022,12Hs,31.4,87,13,0.0
04/ENE/2022,15Hs,30.0,128,31,0.0
04/ENE/2022,18Hs,19.5,134,17,9.6
04/ENE/2022,21Hs,16.3,251,14,21.6
05/ENE/2022,00Hs,16.8,251,7,0.4
05/ENE/2022,03Hs,17.3,231,7,0.1
05/ENE/2022,06Hs,15.9,238,2,4.8
05/ENE/2022,09Hs,20.9,225,3,1.1
05/ENE/2022,12Hs,28.0,133,8,0.0
05/ENE/2022,15Hs,27.5,156,6,0.0
05/ENE/2022,18Hs,19.0,250,7,1.4
05/ENE/2022,21Hs,17.9,270,8,6.4
