date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.4,257,35,0.0
01/ENE/2022,03Hs,19.5,263,41,0.0
01/ENE/2022,06Hs,18.1,266,39,0.0
01/ENE/2022,09Hs,20.5,263,38,0.0
01/ENE/2022,12Hs,24.9,282,34,0.0
01/ENE/2022,15Hs,27.7,290,48,0.0
01/ENE/2022,18Hs,28.0,282,53,0.0
01/ENE/2022,21Hs,24.1,294,56,0.0
02/ENE/2022,00Hs,21.5,289,52,0.0
02/ENE/2022,03Hs,21.1,291,38,0.0
02/ENE/2022,06Hs,21.1,297,43,0.0
02/ENE/2022,09Hs,21.7,285,42,0.0
02/ENE/2022,12Hs,23.8,280,45,0.0
02/ENE/2022,15Hs,24.7,273,36,0.0
02/ENE/2022,18Hs,21.1,135,22,0.0
02/ENE/2022,21Hs,19.4,93,17,0.0
03/ENE/2022,00Hs,17.8,353,5,0.0
03/ENE/2022,03Hs,17.0,344,12,0.0
03/ENE/2022,06Hs,15.3,323,16,0.0
03/ENE/2022,09Hs,21.6,285,42,0.0
03/ENE/2022,12Hs,25.9,274,46,0.0
03/ENE/2022,15Hs,28.8,265,59,0.0
03/ENE/2022,18Hs,28.5,289,52,0.0
03/ENE/2022,21Hs,24.8,258,54,0.0
04/ENE/2022,00Hs,22.1,274,45,0.0
04/ENE/2022,03Hs,20.7,271,44,0.0
04/ENE/2022,06Hs,18.4,247,42,0.0
04/ENE/2022,09Hs,19.6,203,35,0.0
04/ENE/2022,12Hs,21.7,202,33,0.0
04/ENE/2022,15Hs,23.0,162,25,0.0
04/ENE/2022,18Hs,22.5,113,20,0.0
04/ENE/2022,21Hs,19.3,135,27,0.0
05/ENE/2022,00Hs,17.1,80,26,0.0
05/ENE/2022,03Hs,15.5,28,16,0.0
05/ENE/2022,06Hs,14.9,3,16,0.0
05/ENE/2022,09Hs,19.5,342,25,0.0
05/ENE/2022,12Hs,25.8,323,23,0.0
05/ENE/2022,15Hs,29.3,314,15,0.0
05/ENE/2022,18Hs,28.1,183,10,0.0
05/ENE/2022,21Hs,24.2,111,17,0.0
