date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,26.2,110,10,0.0
01/ENE/2022,03Hs,23.7,140,31,0.0
01/ENE/2022,06Hs,18.5,151,43,0.0
01/ENE/2022,09Hs,19.5,148,33,0.0
01/ENE/2022,12Hs,23.2,133,16,0.0
01/ENE/2022,15Hs,27.5,105,12,0.0
01/ENE/2022,18Hs,29.5,101,20,0.0
01/ENE/2022,21Hs,26.5,95,18,0.0
02/ENE/2022,00Hs,24.0,89,9,0.0
02/ENE/2022,03Hs,22.2,90,10,0.0
02/ENE/2022,06Hs,20.0,92,5,0.0
02/ENE/2022,09Hs,24.1,238,7,0.0
02/ENE/2022,12Hs,29.3,17,10,0.0
02/ENE/2022,15Hs,33.0,38,9,0.0
02/ENE/2022,18Hs,34.1,56,18,0.0
02/ENE/2022,21Hs,30.5,66,21,0.0
03/ENE/2022,00Hs,27.6,106,24,0.0
03/ENE/2022,03Hs,20.6,152,17,0.0
03/ENE/2022,06Hs,18.9,154,13,0.0
03/ENE/2022,09Hs,20.8,138,18,0.0
03/ENE/2022,12Hs,24.7,111,20,0.0
03/ENE/2022,15Hs,28.1,126,11,0.0
03/ENE/2022,18Hs,30.7,118,16,0.0
03/ENE/2022,21Hs,28.1,110,13,0.0
04/ENE/2022,00Hs,26.3,144,13,0.0
04/ENE/2022,03Hs,22.9,129,42,0.0
04/ENE/2022,06Hs,19.4,195,19,0.0
04/ENE/2022,09Hs,21.2,145,18,0.0
04/ENE/2022,12Hs,25.1,103,16,0.0
04/ENE/2022,15Hs,28.6,93,21,0.0
04/ENE/2022,18Hs,29.4,95,17,0.0
04/ENE/2022,21Hs,26.9,95,23,0.0
05/ENE/2022,00Hs,24.8,88,24,0.0
05/ENE/2022,03Hs,23.9,248,9,0.0
05/ENE/2022,06Hs,21.6,145,14,0.0
05/ENE/2022,09Hs,24.1,124,21,0.0
05/ENE/2022,12Hs,27.6,60,20,0.0
05/ENE/2022,15Hs,28.1,37,33,0.0
05/ENE/2022,18Hs,26.9,36,37,0.3
05/ENE/2022,21Hs,25.5,50,20,0.9
