date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,31.5,206,12,0.0
01/ENE/2022,03Hs,28.7,220,15,0.0
01/ENE/2022,06Hs,26.0,194,31,0.0
01/ENE/2022,09Hs,23.6,190,38,0.0
01/ENE/2022,12Hs,27.5,192,33,0.0
01/ENE/2022,15Hs,31.3,190,21,0.0
01/ENE/2022,18Hs,33.4,190,18,0.0
01/ENE/2022,21Hs,31.6,169,19,0.0
02/ENE/2022,00Hs,29.0,158,18,0.0
02/ENE/2022,03Hs,26.5,185,12,0.0
02/ENE/2022,06Hs,24.4,274,7,0.0
02/ENE/2022,09Hs,27.7,246,14,0.0
02/ENE/2022,12Hs,32.3,216,6,0.0
02/ENE/2022,15Hs,36.2,117,6,0.0
02/ENE/2022,18Hs,38.0,141,21,0.0
02/ENE/2022,21Hs,35.4,140,20,0.0
03/ENE/2022,00Hs,32.0,133,32,0.0
03/ENE/2022,03Hs,27.4,183,30,0.0
03/ENE/2022,06Hs,22.8,205,37,0.0
03/ENE/2022,09Hs,24.0,174,25,0.0
03/ENE/2022,12Hs,27.9,232,16,0.0
03/ENE/2022,15Hs,31.5,255,7,0.0
03/ENE/2022,18Hs,33.6,217,9,0.0
03/ENE/2022,21Hs,32.9,218,12,0.0
04/ENE/2022,00Hs,30.1,215,11,0.0
04/ENE/2022,03Hs,27.7,303,4,0.0
04/ENE/2022,06Hs,24.5,209,34,0.0
04/ENE/2022,09Hs,24.8,191,34,0.0
04/ENE/2022,12Hs,29.6,182,28,0.0
04/ENE/2022,15Hs,33.1,178,20,0.0
04/ENE/2022,18Hs,34.7,196,16,0.0
04/ENE/2022,21Hs,29.1,79,36,0.0
05/ENE/2022,00Hs,25.5,58,20,0.1
05/ENE/2022,03Hs,23.3,156,8,0.6
05/ENE/2022,06Hs,23.5,63,1,0.6
05/ENE/2022,09Hs,24.5,5,7,0.6
05/ENE/2022,12Hs,28.5,9,12,0.4
05/ENE/2022,15Hs,30.7,49,33,0.0
05/ENE/2022,18Hs,30.6,53,36,0.0
05/ENE/2022,21Hs,29.5,59,33,0.0
