date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.2,165,23,0.0
01/ENE/2022,03Hs,20.8,150,31,0.0
01/ENE/2022,06Hs,17.2,147,17,0.0
01/ENE/2022,09Hs,18.7,118,12,0.0
01/ENE/2022,12Hs,22.7,61,11,0.0
01/ENE/2022,15Hs,27.0,56,7,0.0
01/ENE/2022,18Hs,30.2,17,22,0.0
01/ENE/2022,21Hs,27.0,336,1,0.0
02/ENE/2022,00Hs,24.2,216,2,0.0
02/ENE/2022,03Hs,21.8,190,1,0.0
02/ENE/2022,06Hs,20.3,182,13,0.0
02/ENE/2022,09Hs,23.9,205,8,0.0
02/ENE/2022,12Hs,30.1,308,13,0.0
02/ENE/2022,15Hs,33.4,150,9,0.0
02/ENE/2022,18Hs,34.5,83,11,0.0
02/ENE/2022,21Hs,29.3,228,34,0.0
03/ENE/2022,00Hs,21.0,133,29,0.0
03/ENE/2022,03Hs,18.7,116,12,0.0
03/ENE/2022,06Hs,17.5,213,6,0.0
03/ENE/2022,09Hs,19.6,34,7,0.0
03/ENE/2022,12Hs,24.3,48,14,0.0
03/ENE/2022,15Hs,28.5,48,10,0.0
03/ENE/2022,18Hs,30.7,18,9,0.0
03/ENE/2022,21Hs,29.2,224,29,0.0
04/ENE/2022,00Hs,25.9,164,15,0.0
04/ENE/2022,03Hs,20.3,153,13,0.0
04/ENE/2022,06Hs,18.1,166,10,0.0
04/ENE/2022,09Hs,19.8,83,8,0.0
04/ENE/2022,12Hs,24.4,54,12,0.0
04/ENE/2022,15Hs,28.4,61,13,0.0
04/ENE/2022,18Hs,30.4,48,19,0.0
04/ENE/2022,21Hs,26.9,64,22,0.0
05/ENE/2022,00Hs,23.7,36,5,0.0
05/ENE/2022,03Hs,22.8,138,26,0.0
05/ENE/2022,06Hs,20.4,141,11,0.0
05/ENE/2022,09Hs,22.1,117,13,0.0
05/ENE/2022,12Hs,26.3,75,17,0.0
05/ENE/2022,15Hs,30.8,58,13,0.0
05/ENE/2022,18Hs,29.7,11,40,0.0
05/ENE/2022,21Hs,26.5,23,30,0.1
