date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,26.9,67,11,0.0
01/ENE/2022,03Hs,25.2,47,15,0.0
01/ENE/2022,06Hs,25.2,30,18,0.0
01/ENE/2022,09Hs,29.2,10,22,0.9
01/ENE/2022,12Hs,36.1,15,22,0.8
01/ENE/2022,15Hs,39.2,56,22,0.3
01/ENE/2022,18Hs,31.6,311,57,0.4
01/ENE/2022,21Hs,21.2,35,25,4.0
02/ENE/2022,00Hs,19.9,161,21,1.8
02/ENE/2022,03Hs,19.8,101,9,0.2
02/ENE/2022,06Hs,19.3,120,8,0.4
02/ENE/2022,09Hs,25.9,105,7,0.0
02/ENE/2022,12Hs,35.2,10,11,0.3
02/ENE/2022,15Hs,40.3,310,14,0.0
02/ENE/2022,18Hs,39.6,248,17,0.0
02/ENE/2022,21Hs,28.5,222,19,0.0
03/ENE/2022,00Hs,25.1,143,13,0.0
03/ENE/2022,03Hs,22.9,305,15,0.2
03/ENE/2022,06Hs,22.0,208,10,0.0
03/ENE/2022,09Hs,27.6,117,8,0.0
03/ENE/2022,12Hs,35.1,308,11,0.0
03/ENE/2022,15Hs,37.8,295,8,0.0
03/ENE/2022,18Hs,38.8,61,12,0.0
03/ENE/2022,21Hs,31.0,57,9,0.0
04/ENE/2022,00Hs,28.6,148,1,0.0
04/ENE/2022,03Hs,21.0,190,18,1.8
04/ENE/2022,06Hs,19.1,159,22,3.0
04/ENE/2022,09Hs,22.6,99,21,0.9
04/ENE/2022,12Hs,30.4,231,10,0.0
04/ENE/2022,15Hs,36.7,181,15,0.0
04/ENE/2022,18Hs,36.4,180,19,0.0
04/ENE/2022,21Hs,29.4,184,14,0.0
05/ENE/2022,00Hs,26.3,179,13,0.0
05/ENE/2022,03Hs,24.2,167,18,0.0
05/ENE/2022,06Hs,22.6,150,23,0.0
05/ENE/2022,09Hs,26.6,120,30,0.0
05/ENE/2022,12Hs,33.1,121,22,0.0
05/ENE/2022,15Hs,36.8,147,19,0.0
05/ENE/2022,18Hs,35.8,146,20,0.0
05/ENE/2022,21Hs,28.6,144,16,0.0
