date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,29.1,41,14,0.0
01/ENE/2022,03Hs,27.3,25,5,0.0
01/ENE/2022,06Hs,25.3,244,11,0.0
01/ENE/2022,09Hs,28.3,232,13,0.0
01/ENE/2022,12Hs,32.4,104,4,0.0
01/ENE/2022,15Hs,35.1,72,22,0.0
01/ENE/2022,18Hs,33.9,66,23,0.0
01/ENE/2022,21Hs,31.5,39,12,0.0
02/ENE/2022,00Hs,29.3,313,6,0.0
02/ENE/2022,03Hs,27.0,244,9,0.0
02/ENE/2022,06Hs,23.4,240,19,0.0
02/ENE/2022,09Hs,25.6,224,10,0.0
02/ENE/2022,12Hs,30.2,104,5,0.0
02/ENE/2022,15Hs,34.2,71,21,0.0
02/ENE/2022,18Hs,33.9,59,19,0.0
02/ENE/2022,21Hs,31.2,57,14,0.0
03/ENE/2022,00Hs,29.5,358,7,0.0
03/ENE/2022,03Hs,27.8,351,11,0.0
03/ENE/2022,06Hs,26.0,116,10,0.1
03/ENE/2022,09Hs,27.7,222,4,0.4
03/ENE/2022,12Hs,30.9,70,9,0.0
03/ENE/2022,15Hs,33.1,77,20,0.0
03/ENE/2022,18Hs,33.8,97,16,0.0
03/ENE/2022,21Hs,31.8,103,11,0.0
04/ENE/2022,00Hs,30.4,42,13,0.0
04/ENE/2022,03Hs,27.2,218,9,0.4
04/ENE/2022,06Hs,23.7,216,27,0.9
04/ENE/2022,09Hs,25.4,201,28,0.1
04/ENE/2022,12Hs,29.0,96,16,0.0
04/ENE/2022,15Hs,31.2,70,21,0.0
04/ENE/2022,18Hs,28.7,124,8,1.1
04/ENE/2022,21Hs,28.2,115,12,0.0
05/ENE/2022,00Hs,25.7,144,7,1.2
05/ENE/2022,03Hs,18.8,325,3,11.4
05/ENE/2022,06Hs,17.8,208,27,1.4
05/ENE/2022,09Hs,17.9,223,20,0.9
05/ENE/2022,12Hs,22.9,28,12,0.4
05/ENE/2022,15Hs,24.7,57,19,0.2
05/ENE/2022,18Hs,24.9,68,14,0.0
05/ENE/2022,21Hs,23.8,66,14,0.0
