date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,18.2,50,12,0.0
01/ENE/2022,03Hs,17.6,341,9,0.0
01/ENE/2022,06Hs,18.2,331,10,0.0
01/ENE/2022,09Hs,24.4,227,23,0.0
01/ENE/2022,12Hs,29.6,261,18,0.0
01/ENE/2022,15Hs,32.9,267,28,0.0
01/ENE/2022,18Hs,31.9,264,28,0.0
01/ENE/2022,21Hs,24.6,277,13,0.0
02/ENE/2022,00Hs,21.8,339,11,0.0
02/ENE/2022,03Hs,20.1,320,18,0.0
02/ENE/2022,06Hs,20.6,293,16,0.0
02/ENE/2022,09Hs,26.3,261,21,0.0
02/ENE/2022,12Hs,31.8,259,29,0.0
02/ENE/2022,15Hs,31.1,242,34,0.0
02/ENE/2022,18Hs,20.9,207,36,0.0
02/ENE/2022,21Hs,21.5,276,7,0.0
03/ENE/2022,00Hs,16.8,339,14,0.0
03/ENE/2022,03Hs,14.9,309,12,0.0
03/ENE/2022,06Hs,13.9,316,13,0.0
03/ENE/2022,09Hs,24.8,321,25,0.0
03/ENE/2022,12Hs,31.7,284,29,0.0
03/ENE/2022,15Hs,32.7,260,29,0.0
03/ENE/2022,18Hs,32.9,277,28,0.0
03/ENE/2022,21Hs,25.8,284,12,0.0
04/ENE/2022,00Hs,22.9,226,12,0.0
04/ENE/2022,03Hs,20.9,344,14,0.0
04/ENE/2022,06Hs,21.9,261,16,0.0
04/ENE/2022,09Hs,24.4,238,28,0.0
04/ENE/2022,12Hs,27.2,220,31,0.0
04/ENE/2022,15Hs,22.7,187,33,0.0
04/ENE/2022,18Hs,20.6,176,28,0.0
04/ENE/2022,21Hs,14.6,160,13,0.0
05/ENE/2022,00Hs,11.9,143,8,0.0
05/ENE/2022,03Hs,10.7,65,5,0.0
05/ENE/2022,06Hs,10.0,349,8,0.0
05/ENE/2022,09Hs,18.0,3,7,0.0
05/ENE/2022,12Hs,25.4,130,11,0.0
05/ENE/2022,15Hs,28.8,139,23,0.0
05/ENE/2022,18Hs,26.3,113,23,0.0
05/ENE/2022,21Hs,18.4,81,17,0.0
