date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,3.9,343,11,0.0
01/ENE/2022,03Hs,3.5,355,15,0.0
01/ENE/2022,06Hs,3.7,355,18,0.0
01/ENE/2022,09Hs,6.3,358,35,0.0
01/ENE/2022,12Hs,9.2,357,32,0.0
01/ENE/2022,15Hs,9.6,352,27,0.0
01/ENE/2022,18Hs,8.8,337,12,0.1
01/ENE/2022,21Hs,4.7,194,4,5.0
02/ENE/2022,00Hs,5.2,270,20,2.9
02/ENE/2022,03Hs,3.6,270,32,0.0
02/ENE/2022,06Hs,3.3,268,50,0.0
02/ENE/2022,09Hs,3.8,262,52,0.1
02/ENE/2022,12Hs,4.9,261,57,0.2
02/ENE/2022,15Hs,5.3,256,59,0.2
02/ENE/2022,18Hs,4.4,257,54,0.2
02/ENE/2022,21Hs,3.5,264,46,0.2
03/ENE/2022,00Hs,2.8,274,39,0.0
03/ENE/2022,03Hs,2.8,285,29,0.1
03/ENE/2022,06Hs,3.0,291,23,0.1
03/ENE/2022,09Hs,4.1,321,19,0.0
03/ENE/2022,12Hs,6.9,290,16,0.2
03/ENE/2022,15Hs,8.0,247,38,0.0
03/ENE/2022,18Hs,6.5,251,42,0.0
03/ENE/2022,21Hs,4.0,258,27,0.1
04/ENE/2022,00Hs,3.5,257,29,1.0
04/ENE/2022,03Hs,4.1,242,45,1.1
04/ENE/2022,06Hs,3.0,245,45,0.4
04/ENE/2022,09Hs,3.4,241,49,1.1
04/ENE/2022,12Hs,3.7,242,48,0.3
04/ENE/2022,15Hs,5.3,246,49,0.4
04/ENE/2022,18Hs,5.1,250,45,0.2
04/ENE/2022,21Hs,4.6,255,33,0.2
05/ENE/2022,00Hs,3.8,292,11,0.0
05/ENE/2022,03Hs,3.2,337,13,0.0
05/ENE/2022,06Hs,2.1,332,13,1.3
05/ENE/2022,09Hs,6.1,262,27,1.2
05/ENE/2022,12Hs,7.6,266,38,0.2
05/ENE/2022,15Hs,8.4,270,38,0.2
05/ENE/2022,18Hs,8.6,283,20,0.1
05/ENE/2022,21Hs,8.0,281,3,0.0
