date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.0,67,9,0.0
01/ENE/2022,03Hs,19.1,87,6,0.2
01/ENE/2022,06Hs,17.6,109,4,1.8
01/ENE/2022,09Hs,19.7,175,9,2.0
01/ENE/2022,12Hs,22.5,151,5,0.8
01/ENE/2022,15Hs,31.9,6,14,1.8
01/ENE/2022,18Hs,34.6,82,17,0.0
01/ENE/2022,21Hs,24.4,0,2,0.7
02/ENE/2022,00Hs,20.0,301,10,2.6
02/ENE/2022,03Hs,19.1,314,10,0.1
02/ENE/2022,06Hs,17.9,238,9,0.0
02/ENE/2022,09Hs,23.7,71,4,1.1
02/ENE/2022,12Hs,33.1,24,13,0.0
02/ENE/2022,15Hs,38.1,347,13,0.0
02/ENE/2022,18Hs,38.9,270,16,0.0
02/ENE/2022,21Hs,28.9,253,13,0.0
03/ENE/2022,00Hs,22.1,107,24,0.0
03/ENE/2022,03Hs,19.4,148,20,0.0
03/ENE/2022,06Hs,17.5,131,11,0.0
03/ENE/2022,09Hs,24.9,130,13,0.0
03/ENE/2022,12Hs,32.8,101,12,0.0
03/ENE/2022,15Hs,38.5,51,13,0.0
03/ENE/2022,18Hs,38.7,41,14,0.0
03/ENE/2022,21Hs,27.8,63,7,0.8
04/ENE/2022,00Hs,20.4,237,28,3.5
04/ENE/2022,03Hs,19.6,128,6,0.4
04/ENE/2022,06Hs,18.4,244,9,0.0
04/ENE/2022,09Hs,23.2,174,12,0.0
04/ENE/2022,12Hs,32.5,178,23,0.0
04/ENE/2022,15Hs,36.2,193,24,0.0
04/ENE/2022,18Hs,35.3,186,26,0.0
04/ENE/2022,21Hs,26.8,168,15,0.0
05/ENE/2022,00Hs,23.3,167,18,0.0
05/ENE/2022,03Hs,18.8,117,31,0.0
05/ENE/2022,06Hs,16.7,112,24,0.0
05/ENE/2022,09Hs,21.5,106,23,0.0
05/ENE/2022,12Hs,29.1,110,17,0.0
05/ENE/2022,15Hs,33.2,144,15,0.0
05/ENE/2022,18Hs,32.6,141,17,0.0
05/ENE/2022,21Hs,24.2,133,13,0.0
