date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,20.5,162,6,0.0
01/ENE/2022,03Hs,19.9,182,35,0.0
01/ENE/2022,06Hs,16.7,169,26,0.0
01/ENE/2022,09Hs,21.2,163,26,0.0
01/ENE/2022,12Hs,26.6,146,12,0.0
01/ENE/2022,15Hs,29.7,142,2,0.0
01/ENE/2022,18Hs,31.4,205,5,0.0
01/ENE/2022,21Hs,24.9,155,10,0.0
02/ENE/2022,00Hs,20.8,73,5,0.0
02/ENE/2022,03Hs,20.7,132,14,0.0
02/ENE/2022,06Hs,18.5,123,16,0.0
02/ENE/2022,09Hs,25.3,89,23,0.0
02/ENE/2022,12Hs,29.8,36,15,0.0
02/ENE/2022,15Hs,34.6,279,22,0.0
02/ENE/2022,18Hs,34.3,202,31,0.0
02/ENE/2022,21Hs,24.5,188,42,0.0
03/ENE/2022,00Hs,21.3,192,30,0.0
03/ENE/2022,03Hs,17.9,137,11,0.0
03/ENE/2022,06Hs,16.2,181,8,0.0
03/ENE/2022,09Hs,22.8,111,11,0.0
03/ENE/2022,12Hs,27.2,68,10,0.0
03/ENE/2022,15Hs,33.1,352,17,0.0
03/ENE/2022,18Hs,34.0,334,24,0.0
03/ENE/2022,21Hs,27.9,233,14,0.0
04/ENE/2022,00Hs,23.7,180,37,0.0
04/ENE/2022,03Hs,19.8,164,16,0.0
04/ENE/2022,06Hs,17.5,168,14,0.0
04/ENE/2022,09Hs,23.0,192,32,0.0
04/ENE/2022,12Hs,28.3,202,40,0.0
04/ENE/2022,15Hs,31.3,197,32,0.0
04/ENE/2022,18Hs,31.1,172,31,0.0
04/ENE/2022,21Hs,23.3,146,22,0.0
05/ENE/2022,00Hs,19.2,113,19,0.0
05/ENE/2022,03Hs,16.1,86,26,0.0
05/ENE/2022,06Hs,14.2,75,24,0.0
05/ENE/2022,09Hs,20.3,43,33,0.0
05/ENE/2022,12Hs,27.3,42,28,0.0
05/ENE/2022,15Hs,31.4,53,22,0.0
05/ENE/2022,18Hs,31.8,58,23,0.0
05/ENE/2022,21Hs,25.4,47,19,0.0
