date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,23.9,319,3,0.0
01/ENE/2022,03Hs,22.0,268,6,0.0
01/ENE/2022,06Hs,19.6,297,7,0.7
01/ENE/2022,09Hs,25.4,40,13,0.9
01/ENE/2022,12Hs,35.7,24,26,0.9
01/ENE/2022,15Hs,41.0,0,25,0.1
01/ENE/2022,18Hs,41.5,341,7,0.0
01/ENE/2022,21Hs,21.4,42,6,0.0
02/ENE/2022,00Hs,17.7,214,13,1.1
02/ENE/2022,03Hs,17.5,241,10,0.5
02/ENE/2022,06Hs,17.7,238,9,0.8
02/ENE/2022,09Hs,24.5,213,2,0.0
02/ENE/2022,12Hs,34.4,60,15,0.0
02/ENE/2022,15Hs,39.9,356,17,0.0
02/ENE/2022,18Hs,39.5,305,17,0.0
02/ENE/2022,21Hs,21.8,259,13,0.2
03/ENE/2022,00Hs,25.7,276,10,0.0
03/ENE/2022,03Hs,20.1,330,8,0.0
03/ENE/2022,06Hs,21.0,208,17,0.0
03/ENE/2022,09Hs,26.7,160,17,0.0
03/ENE/2022,12Hs,32.6,105,15,0.0
03/ENE/2022,15Hs,37.4,83,16,0.0
03/ENE/2022,18Hs,37.0,80,20,0.0
03/ENE/2022,21Hs,28.5,100,7,0.0
04/ENE/2022,00Hs,26.1,302,7,0.0
04/ENE/2022,03Hs,19.9,202,19,2.9
04/ENE/2022,06Hs,18.5,217,11,1.8
04/ENE/2022,09Hs,21.7,169,12,0.0
04/ENE/2022,12Hs,27.1,149,12,0.4
04/ENE/2022,15Hs,33.3,139,19,0.0
04/ENE/2022,18Hs,33.6,122,19,0.0
04/ENE/2022,21Hs,27.1,182,15,0.0
05/ENE/2022,00Hs,24.3,193,18,0.0
05/ENE/2022,03Hs,23.3,188,18,0.0
05/ENE/2022,06Hs,22.2,194,21,0.0
05/ENE/2022,09Hs,25.2,171,27,0.0
05/ENE/2022,12Hs,28.5,152,26,0.0
05/ENE/2022,15Hs,32.6,104,23,0.0
05/ENE/2022,18Hs,32.6,120,17,0.0
05/ENE/2022,21Hs,27.3,133,11,0.0
