station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
AEROPARQUE,01/ENE/2022,00Hs,25.4,63,17,0.0
AEROPARQUE,01/ENE/2022,03Hs,23.2,39,14,0.0
AEROPARQUE,01/ENE/2022,06Hs,23.2,15,12,0.0
AEROPARQUE,01/ENE/2022,09Hs,27.5,7,10,0.0
AEROPARQUE,01/ENE/2022,12Hs,33.3,317,12,0.0
AEROPARQUE,01/ENE/2022,15Hs,32.8,324,14,0.0
AEROPARQUE,01/ENE/2022,18Hs,33.8,312,8,0.0
AEROPARQUE,01/ENE/2022,21Hs,25.6,353,6,0.0
AEROPARQUE,02/ENE/2022,00Hs,23.2,4,7,0.0
AEROPARQUE,02/ENE/2022,03Hs,17.5,292,8,0.8
AEROPARQUE,02/ENE/2022,06Hs,18.0,10,5,1.5
AEROPARQUE,02/ENE/2022,09Hs,25.0,58,8,0.0
AEROPARQUE,02/ENE/2022,12Hs,33.9,61,9,0.0
AEROPARQUE,02/ENE/2022,15Hs,36.4,62,16,0.2
AEROPARQUE,02/ENE/2022,18Hs,25.5,126,18,0.7
AEROPARQUE,02/ENE/2022,21Hs,21.4,153,30,0.8
AEROPARQUE,03/ENE/2022,00Hs,19.7,56,15,1.1
AEROPARQUE,03/ENE/2022,03Hs,19.6,170,8,0.0
AEROPARQUE,03/ENE/2022,06Hs,19.1,133,6,0.0
AEROPARQUE,03/ENE/2022,09Hs,24.9,128,10,0.0
AEROPARQUE,03/ENE/2022,12Hs,29.2,133,11,0.0
AEROPARQUE,03/ENE/2022,15Hs,32.4,116,12,0.0
AEROPARQUE,03/ENE/2022,18Hs,30.2,114,11,0.0
AEROPARQUE,03/ENE/2022,21Hs,24.3,102,15,0.0
AEROPARQUE,04/ENE/2022,00Hs,24.9,80,9,0.0
AEROPARQUE,04/ENE/2022,03Hs,25.6,309,12,0.0
AEROPARQUE,04/ENE/2022,06Hs,21.0,205,6,0.4
AEROPARQUE,04/ENE/2022,09Hs,27.9,146,6,0.0
AEROPARQUE,04/ENE/2022,12Hs,30.1,341,2,0.0
AEROPARQUE,04/ENE/2022,15Hs,34.8,112,12,0.0
AEROPARQUE,04/ENE/2022,18Hs,28.3,119,7,0.0
AEROPARQUE,04/ENE/2022,21Hs,23.4,128,35,0.0
AEROPARQUE,05/ENE/2022,00Hs,20.8,128,30,0.0
AEROPARQUE,05/ENE/2022,03Hs,19.9,138,20,0.0
AEROPARQUE,05/ENE/2022,06Hs,18.4,146,15,0.0
AEROPARQUE,05/ENE/2022,09Hs,20.4,139,17,0.0
AEROPARQUE,05/ENE/2022,12Hs,23.7,126,17,0.0
AEROPARQUE,05/ENE/2022,15Hs,24.8,121,18,0.0
AEROPARQUE,05/ENE/2022,18Hs,22.3,115,22,0.0
AEROPARQUE,05/ENE/2022,21Hs,20.2,111,24,0.0
AZUL_AERO,01/ENE/2022,00Hs,21.0,35,11,0.0
AZUL_AERO,01/ENE/2022,03Hs,18.7,27,15,0.0
AZUL_AERO,01/ENE/2022,06Hs,16.0,310,11,0.1
AZUL_AERO,01/ENE/2022,09Hs,26.2,266,21,0.1
AZUL_AERO,01/ENE/2022,12Hs,32.4,272,17,0.0
AZUL_AERO,01/ENE/2022,15Hs,34.3,311,28,0.0
AZUL_AERO,01/ENE/2022,18Hs,33.1,309,19,0.0
AZUL_AERO,01/ENE/2022,21Hs,25.2,273,7,0.0
AZUL_AERO,02/ENE/2022,00Hs,19.9,141,13,0.0
AZUL_AERO,02/ENE/2022,03Hs,16.8,97,10,0.0
AZUL_AERO,02/ENE/2022,06Hs,18.2,165,8,0.0
AZUL_AERO,02/ENE/2022,09Hs,27.1,166,9,0.0
AZUL_AERO,02/ENE/2022,12Hs,33.9,109,10,0.0
AZUL_AERO,02/ENE/2022,15Hs,36.9,243,12,0.0
AZUL_AERO,02/ENE/2022,18Hs,35.9,223,30,0.0
AZUL_AERO,02/ENE/2022,21Hs,25.3,126,27,0.0
AZUL_AERO,03/ENE/2022,00Hs,19.3,104,15,0.0
AZUL_AERO,03/ENE/2022,03Hs,15.8,49,8,0.0
AZUL_AERO,03/ENE/2022,06Hs,14.2,346,5,0.0
AZUL_AERO,03/ENE/2022,09Hs,24.8,294,12,0.0
AZUL_AERO,03/ENE/2022,12Hs,32.6,264,19,0.0
AZUL_AERO,03/ENE/2022,15Hs,35.8,274,16,0.0
AZUL_AERO,03/ENE/2022,18Hs,35.8,279,13,0.0
AZUL_AERO,03/ENE/2022,21Hs,26.8,175,12,0.0
AZUL_AERO,04/ENE/2022,00Hs,24.3,103,14,0.0
AZUL_AERO,04/ENE/2022,03Hs,22.7,244,13,0.0
AZUL_AERO,04/ENE/2022,06Hs,19.8,281,8,0.0
AZUL_AERO,04/ENE/2022,09Hs,27.4,219,20,0.0
AZUL_AERO,04/ENE/2022,12Hs,31.9,224,26,0.0
AZUL_AERO,04/ENE/2022,15Hs,34.2,231,28,0.0
AZUL_AERO,04/ENE/2022,18Hs,32.2,204,29,0.0
AZUL_AERO,04/ENE/2022,21Hs,20.5,153,33,0.0
AZUL_AERO,05/ENE/2022,00Hs,14.1,126,17,0.0
AZUL_AERO,05/ENE/2022,03Hs,9.9,131,9,0.0
AZUL_AERO,05/ENE/2022,06Hs,8.3,129,9,0.0
AZUL_AERO,05/ENE/2022,09Hs,18.2,108,13,0.0
AZUL_AERO,05/ENE/2022,12Hs,25.3,120,12,0.0
AZUL_AERO,05/ENE/2022,15Hs,29.9,113,14,0.0
AZUL_AERO,05/ENE/2022,18Hs,30.3,86,16,0.0
AZUL_AERO,05/ENE/2022,21Hs,21.7,80,15,0.0
BAHIA_BLANCA_AERO,01/ENE/2022,00Hs,20.9,170,5,0.0
BAHIA_BLANCA_AERO,01/ENE/2022,03Hs,20.6,3,10,0.0
BAHIA_BLANCA_AERO,01/ENE/2022,06Hs,18.7,262,14,0.0
BAHIA_BLANCA_AERO,01/ENE/2022,09Hs,21.8,257,19,0.0
BAHIA_BLANCA_AERO,01/ENE/2022,12Hs,27.0,279,23,0.0
