date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,5.6,299,20,2.4
01/ENE/2022,03Hs,5.7,300,21,1.8
01/ENE/2022,06Hs,6.1,304,19,3.6
01/ENE/2022,09Hs,6.7,298,23,3.4
01/ENE/2022,12Hs,6.6,296,26,4.1
01/ENE/2022,15Hs,7.5,298,33,5.1
01/ENE/2022,18Hs,8.3,303,29,11.0
01/ENE/2022,21Hs,8.9,317,30,18.4
02/ENE/2022,00Hs,9.0,289,17,19.2
02/ENE/2022,03Hs,7.7,298,18,14.6
02/ENE/2022,06Hs,4.7,288,22,1.4
02/ENE/2022,09Hs,6.4,297,27,0.0
02/ENE/2022,12Hs,8.9,295,33,0.1
02/ENE/2022,15Hs,10.3,292,34,0.0
02/ENE/2022,18Hs,11.7,288,33,0.0
02/ENE/2022,21Hs,8.0,301,24,0.0
03/ENE/2022,00Hs,4.3,299,20,0.0
03/ENE/2022,03Hs,2.9,300,20,0.0
03/ENE/2022,06Hs,4.0,317,15,1.8
03/ENE/2022,09Hs,6.9,304,17,4.4
03/ENE/2022,12Hs,9.9,296,26,3.5
03/ENE/2022,15Hs,10.2,295,30,2.6
03/ENE/2022,18Hs,10.3,296,35,1.2
03/ENE/2022,21Hs,8.5,291,33,0.7
04/ENE/2022,00Hs,6.2,299,28,0.0
04/ENE/2022,03Hs,4.6,292,25,0.0
04/ENE/2022,06Hs,3.5,290,22,0.0
04/ENE/2022,09Hs,6.2,301,24,0.0
04/ENE/2022,12Hs,8.5,305,15,0.0
04/ENE/2022,15Hs,13.7,293,16,0.0
04/ENE/2022,18Hs,14.4,289,16,0.0
04/ENE/2022,21Hs,10.0,298,13,0.0
05/ENE/2022,00Hs,6.3,283,9,0.0
05/ENE/2022,03Hs,5.3,280,5,0.0
05/ENE/2022,06Hs,4.7,227,3,0.0
05/ENE/2022,09Hs,9.4,161,3,0.0
05/ENE/2022,12Hs,15.4,63,1,0.0
05/ENE/2022,15Hs,18.2,5,4,0.0
05/ENE/2022,18Hs,19.0,321,4,0.0
05/ENE/2022,21Hs,14.8,267,3,0.0
