date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,17.9,107,11,0.0
01/ENE/2022,03Hs,17.4,36,11,0.0
01/ENE/2022,06Hs,15.8,338,6,0.0
01/ENE/2022,09Hs,25.0,232,23,0.0
01/ENE/2022,12Hs,30.7,244,15,0.0
01/ENE/2022,15Hs,33.8,291,19,0.0
01/ENE/2022,18Hs,33.2,252,24,0.0
01/ENE/2022,21Hs,23.6,209,15,0.0
02/ENE/2022,00Hs,18.0,58,15,0.0
02/ENE/2022,03Hs,18.1,21,12,0.0
02/ENE/2022,06Hs,18.3,285,10,0.0
02/ENE/2022,09Hs,25.9,243,15,0.0
02/ENE/2022,12Hs,31.5,251,13,0.0
02/ENE/2022,15Hs,34.7,274,16,0.0
02/ENE/2022,18Hs,27.8,209,37,0.0
02/ENE/2022,21Hs,18.8,92,15,0.0
03/ENE/2022,00Hs,17.0,30,14,0.0
03/ENE/2022,03Hs,15.6,357,11,0.0
03/ENE/2022,06Hs,14.0,298,9,0.0
03/ENE/2022,09Hs,23.6,308,22,0.0
03/ENE/2022,12Hs,31.1,284,29,0.0
03/ENE/2022,15Hs,34.3,272,22,0.0
03/ENE/2022,18Hs,34.1,274,22,0.0
03/ENE/2022,21Hs,24.8,194,13,0.0
04/ENE/2022,00Hs,19.9,53,12,0.0
04/ENE/2022,03Hs,21.1,264,15,0.0
04/ENE/2022,06Hs,20.1,233,14,0.0
04/ENE/2022,09Hs,24.9,235,25,0.0
04/ENE/2022,12Hs,28.9,220,26,0.0
04/ENE/2022,15Hs,30.9,214,28,0.0
04/ENE/2022,18Hs,23.6,182,30,0.0
04/ENE/2022,21Hs,15.8,158,25,0.0
05/ENE/2022,00Hs,11.1,136,11,0.0
05/ENE/2022,03Hs,9.5,99,7,0.0
05/ENE/2022,06Hs,8.9,116,6,0.0
05/ENE/2022,09Hs,17.6,113,9,0.0
05/ENE/2022,12Hs,24.9,121,13,0.0
05/ENE/2022,15Hs,28.9,127,15,0.0
05/ENE/2022,18Hs,28.7,116,17,0.0
05/ENE/2022,21Hs,20.3,102,25,0.0
