date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.3,329,6,0.0
01/ENE/2022,03Hs,18.0,280,8,0.0
01/ENE/2022,06Hs,15.1,285,14,0.2
01/ENE/2022,09Hs,24.7,241,17,0.0
01/ENE/2022,12Hs,31.7,295,16,0.1
01/ENE/2022,15Hs,33.0,337,24,0.2
01/ENE/2022,18Hs,34.5,308,17,0.0
01/ENE/2022,21Hs,25.9,191,13,0.0
02/ENE/2022,00Hs,20.9,139,6,0.0
02/ENE/2022,03Hs,19.3,134,10,0.0
02/ENE/2022,06Hs,19.1,211,13,0.0
02/ENE/2022,09Hs,28.6,188,14,0.0
02/ENE/2022,12Hs,34.5,131,10,0.0
02/ENE/2022,15Hs,37.8,267,7,0.0
02/ENE/2022,18Hs,36.8,212,30,0.0
02/ENE/2022,21Hs,25.6,115,24,0.0
03/ENE/2022,00Hs,21.2,102,19,0.0
03/ENE/2022,03Hs,17.1,37,11,0.0
03/ENE/2022,06Hs,15.2,357,9,0.0
03/ENE/2022,09Hs,25.5,280,15,0.0
03/ENE/2022,12Hs,32.6,247,15,0.0
03/ENE/2022,15Hs,36.1,270,13,0.0
03/ENE/2022,18Hs,37.0,302,13,0.0
03/ENE/2022,21Hs,28.3,185,10,0.0
04/ENE/2022,00Hs,25.6,303,27,0.0
04/ENE/2022,03Hs,20.4,247,13,0.0
04/ENE/2022,06Hs,20.0,231,9,0.0
04/ENE/2022,09Hs,26.8,208,24,0.0
04/ENE/2022,12Hs,32.1,220,26,0.0
04/ENE/2022,15Hs,34.3,227,29,0.0
04/ENE/2022,18Hs,32.8,215,30,0.0
04/ENE/2022,21Hs,22.2,141,26,0.0
05/ENE/2022,00Hs,16.1,114,20,0.0
05/ENE/2022,03Hs,11.3,102,11,0.0
05/ENE/2022,06Hs,9.2,100,7,0.0
05/ENE/2022,09Hs,18.5,103,13,0.0
05/ENE/2022,12Hs,26.2,125,13,0.0
05/ENE/2022,15Hs,30.9,121,14,0.0
05/ENE/2022,18Hs,31.3,104,15,0.0
05/ENE/2022,21Hs,22.6,77,15,0.0
