date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.7,56,24,0.0
01/ENE/2022,03Hs,24.4,44,21,0.0
01/ENE/2022,06Hs,23.2,360,17,0.0
01/ENE/2022,09Hs,28.5,351,12,0.0
01/ENE/2022,12Hs,33.3,317,16,0.0
01/ENE/2022,15Hs,35.8,316,25,0.0
01/ENE/2022,18Hs,35.0,299,19,0.0
01/ENE/2022,21Hs,27.4,344,9,0.0
02/ENE/2022,00Hs,23.7,321,10,0.0
02/ENE/2022,03Hs,18.9,330,13,0.8
02/ENE/2022,06Hs,20.1,334,10,0.2
02/ENE/2022,09Hs,26.9,32,10,0.0
02/ENE/2022,12Hs,35.4,3,16,0.0
02/ENE/2022,15Hs,37.3,338,27,0.0
02/ENE/2022,18Hs,25.4,140,32,0.4
02/ENE/2022,21Hs,19.2,101,29,1.4
03/ENE/2022,00Hs,19.1,161,13,0.4
03/ENE/2022,03Hs,17.3,163,8,0.0
03/ENE/2022,06Hs,16.8,164,10,0.0
03/ENE/2022,09Hs,25.0,81,8,0.0
03/ENE/2022,12Hs,34.0,204,10,0.0
03/ENE/2022,15Hs,38.6,113,9,0.0
03/ENE/2022,18Hs,37.7,65,18,0.0
03/ENE/2022,21Hs,27.6,84,19,0.0
04/ENE/2022,00Hs,25.4,71,21,0.0
04/ENE/2022,03Hs,21.4,227,13,0.7
04/ENE/2022,06Hs,20.8,169,11,0.7
04/ENE/2022,09Hs,23.1,229,10,0.0
04/ENE/2022,12Hs,32.7,206,12,0.0
04/ENE/2022,15Hs,37.9,223,17,0.0
04/ENE/2022,18Hs,36.6,200,33,0.0
04/ENE/2022,21Hs,21.8,127,40,0.0
05/ENE/2022,00Hs,18.0,127,29,0.0
05/ENE/2022,03Hs,16.1,138,19,0.0
05/ENE/2022,06Hs,13.0,148,14,0.0
05/ENE/2022,09Hs,20.3,136,19,0.0
05/ENE/2022,12Hs,27.1,137,17,0.0
05/ENE/2022,15Hs,30.6,136,17,0.0
05/ENE/2022,18Hs,26.5,71,29,0.0
05/ENE/2022,21Hs,20.3,84,25,0.0
