date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,30.3,34,21,0.0
01/ENE/2022,03Hs,27.8,344,8,0.0
01/ENE/2022,06Hs,25.5,14,10,0.0
01/ENE/2022,09Hs,31.1,186,9,0.0
01/ENE/2022,12Hs,35.5,220,24,0.0
01/ENE/2022,15Hs,38.7,189,19,0.0
01/ENE/2022,18Hs,39.0,181,9,0.0
01/ENE/2022,21Hs,32.4,262,8,0.0
02/ENE/2022,00Hs,27.3,341,8,0.3
02/ENE/2022,03Hs,26.2,234,19,0.0
02/ENE/2022,06Hs,22.5,215,8,0.0
02/ENE/2022,09Hs,26.0,212,6,0.0
02/ENE/2022,12Hs,32.5,175,11,0.0
02/ENE/2022,15Hs,36.9,159,13,0.0
02/ENE/2022,18Hs,38.7,147,9,0.0
02/ENE/2022,21Hs,29.3,331,4,0.6
03/ENE/2022,00Hs,29.0,16,11,0.3
03/ENE/2022,03Hs,27.0,43,9,0.3
03/ENE/2022,06Hs,24.9,32,16,1.1
03/ENE/2022,09Hs,28.5,135,0,0.7
03/ENE/2022,12Hs,34.4,149,9,0.0
03/ENE/2022,15Hs,39.1,128,18,0.0
03/ENE/2022,18Hs,37.3,81,29,0.0
03/ENE/2022,21Hs,32.3,45,27,0.0
04/ENE/2022,00Hs,29.8,54,24,0.0
04/ENE/2022,03Hs,28.1,73,9,0.0
04/ENE/2022,06Hs,22.7,254,27,5.1
04/ENE/2022,09Hs,25.3,200,6,1.5
04/ENE/2022,12Hs,30.2,108,5,0.8
04/ENE/2022,15Hs,34.4,103,9,0.4
04/ENE/2022,18Hs,34.7,48,29,0.0
04/ENE/2022,21Hs,28.9,64,17,0.0
05/ENE/2022,00Hs,27.0,48,17,0.2
05/ENE/2022,03Hs,24.3,19,10,1.2
05/ENE/2022,06Hs,18.9,243,24,10.6
05/ENE/2022,09Hs,19.0,200,10,12.7
05/ENE/2022,12Hs,20.1,216,5,0.7
05/ENE/2022,15Hs,27.4,109,14,0.0
05/ENE/2022,18Hs,29.4,88,19,0.0
05/ENE/2022,21Hs,24.3,207,1,0.0
