date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,8.9,294,28,0.0
01/ENE/2022,03Hs,8.6,293,23,0.0
01/ENE/2022,06Hs,8.5,316,17,0.0
01/ENE/2022,09Hs,8.3,313,21,0.1
01/ENE/2022,12Hs,8.7,302,27,0.0
01/ENE/2022,15Hs,10.0,297,35,0.1
01/ENE/2022,18Hs,11.0,293,36,0.0
01/ENE/2022,21Hs,11.9,286,36,0.3
02/ENE/2022,00Hs,11.3,287,48,1.2
02/ENE/2022,03Hs,10.7,281,42,5.2
02/ENE/2022,06Hs,9.7,307,12,16.6
02/ENE/2022,09Hs,8.7,296,39,10.3
02/ENE/2022,12Hs,14.2,281,47,0.0
02/ENE/2022,15Hs,15.6,279,51,0.0
02/ENE/2022,18Hs,15.3,281,43,0.0
02/ENE/2022,21Hs,11.0,301,23,0.0
03/ENE/2022,00Hs,6.9,307,13,0.0
03/ENE/2022,03Hs,7.4,293,13,0.0
03/ENE/2022,06Hs,7.4,311,9,0.1
03/ENE/2022,09Hs,9.9,331,10,0.2
03/ENE/2022,12Hs,12.4,305,22,0.4
03/ENE/2022,15Hs,12.6,301,30,0.3
03/ENE/2022,18Hs,12.6,293,29,0.1
03/ENE/2022,21Hs,12.4,299,33,0.2
04/ENE/2022,00Hs,11.9,283,38,0.1
04/ENE/2022,03Hs,9.0,287,36,0.0
04/ENE/2022,06Hs,6.3,286,19,0.0
04/ENE/2022,09Hs,9.0,272,31,0.0
04/ENE/2022,12Hs,13.4,246,20,0.0
04/ENE/2022,15Hs,18.7,276,27,0.0
04/ENE/2022,18Hs,19.6,266,25,0.0
04/ENE/2022,21Hs,13.7,262,17,0.0
05/ENE/2022,00Hs,8.6,268,11,0.0
05/ENE/2022,03Hs,7.0,269,9,0.0
05/ENE/2022,06Hs,6.4,276,7,0.0
05/ENE/2022,09Hs,10.9,257,2,0.0
05/ENE/2022,12Hs,17.2,104,4,0.0
05/ENE/2022,15Hs,22.2,266,2,0.0
05/ENE/2022,18Hs,24.8,248,6,0.0
05/ENE/2022,21Hs,20.8,249,2,0.0
