date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,20.3,214,35,0.0
01/ENE/2022,03Hs,18.3,213,31,0.0
01/ENE/2022,06Hs,16.9,208,32,0.0
01/ENE/2022,09Hs,20.1,238,28,0.0
01/ENE/2022,12Hs,26.6,273,35,0.0
01/ENE/2022,15Hs,30.8,296,36,0.0
01/ENE/2022,18Hs,30.3,258,57,0.0
01/ENE/2022,21Hs,25.7,252,56,0.0
02/ENE/2022,00Hs,23.8,258,57,0.0
02/ENE/2022,03Hs,22.5,255,57,0.0
02/ENE/2022,06Hs,22.2,259,59,0.0
02/ENE/2022,09Hs,25.4,269,57,0.0
02/ENE/2022,12Hs,25.9,273,58,0.0
02/ENE/2022,15Hs,26.3,246,51,0.0
02/ENE/2022,18Hs,24.2,245,58,0.0
02/ENE/2022,21Hs,20.5,234,53,0.0
03/ENE/2022,00Hs,19.0,222,55,0.0
03/ENE/2022,03Hs,18.6,215,43,0.0
03/ENE/2022,06Hs,17.2,222,15,0.0
03/ENE/2022,09Hs,21.8,273,14,0.0
03/ENE/2022,12Hs,27.1,332,25,0.0
03/ENE/2022,15Hs,31.2,257,31,0.0
03/ENE/2022,18Hs,28.4,236,59,0.0
03/ENE/2022,21Hs,24.1,238,54,0.0
04/ENE/2022,00Hs,21.3,241,39,0.0
04/ENE/2022,03Hs,19.9,235,40,0.0
04/ENE/2022,06Hs,19.1,242,43,0.0
04/ENE/2022,09Hs,22.4,233,44,0.0
04/ENE/2022,12Hs,26.9,235,41,0.0
04/ENE/2022,15Hs,29.3,202,38,0.0
04/ENE/2022,18Hs,28.1,197,29,0.0
04/ENE/2022,21Hs,26.1,185,13,0.0
05/ENE/2022,00Hs,22.6,75,13,0.0
05/ENE/2022,03Hs,20.1,24,10,0.0
05/ENE/2022,06Hs,18.1,24,12,0.0
05/ENE/2022,09Hs,23.1,8,31,0.0
05/ENE/2022,12Hs,28.9,14,31,0.0
05/ENE/2022,15Hs,32.6,26,30,0.0
05/ENE/2022,18Hs,33.2,29,29,0.0
05/ENE/2022,21Hs,30.8,49,26,0.0
