date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,15.5,282,46,0.0
01/ENE/2022,03Hs,14.1,276,43,0.0
01/ENE/2022,06Hs,13.7,286,43,0.0
01/ENE/2022,09Hs,15.6,301,42,0.0
01/ENE/2022,12Hs,17.6,323,26,0.0
01/ENE/2022,15Hs,19.5,346,47,0.0
01/ENE/2022,18Hs,21.4,285,51,0.0
01/ENE/2022,21Hs,19.1,283,53,0.0
02/ENE/2022,00Hs,15.7,272,57,0.0
02/ENE/2022,03Hs,13.8,271,46,0.0
02/ENE/2022,06Hs,12.9,268,46,0.0
02/ENE/2022,09Hs,13.0,252,46,0.0
02/ENE/2022,12Hs,14.7,224,28,0.0
02/ENE/2022,15Hs,16.2,243,28,0.0
02/ENE/2022,18Hs,16.9,225,16,0.0
02/ENE/2022,21Hs,17.1,279,51,0.0
03/ENE/2022,00Hs,13.8,273,57,0.0
03/ENE/2022,03Hs,13.3,283,42,0.0
03/ENE/2022,06Hs,13.9,314,45,0.0
03/ENE/2022,09Hs,15.4,330,46,0.0
03/ENE/2022,12Hs,19.8,300,51,0.0
03/ENE/2022,15Hs,20.8,263,65,0.0
03/ENE/2022,18Hs,19.7,256,72,0.0
03/ENE/2022,21Hs,16.3,264,66,0.0
04/ENE/2022,00Hs,13.5,265,71,0.0
04/ENE/2022,03Hs,13.1,258,56,0.0
04/ENE/2022,06Hs,13.0,246,44,0.0
04/ENE/2022,09Hs,14.1,218,34,0.0
04/ENE/2022,12Hs,11.5,161,40,0.0
04/ENE/2022,15Hs,10.6,64,14,0.0
04/ENE/2022,18Hs,12.6,33,31,0.0
04/ENE/2022,21Hs,14.0,28,34,0.0
05/ENE/2022,00Hs,14.9,330,8,0.0
05/ENE/2022,03Hs,14.8,211,29,0.0
05/ENE/2022,06Hs,14.2,249,16,0.0
05/ENE/2022,09Hs,15.8,253,14,0.0
05/ENE/2022,12Hs,17.8,235,1,0.0
05/ENE/2022,15Hs,16.6,42,22,0.0
05/ENE/2022,18Hs,16.4,52,34,0.0
05/ENE/2022,21Hs,17.6,32,18,0.0
