date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.2,60,12,0.0
01/ENE/2022,03Hs,23.4,58,14,0.0
01/ENE/2022,06Hs,22.1,41,13,0.0
01/ENE/2022,09Hs,28.8,28,16,0.0
01/ENE/2022,12Hs,38.9,9,15,0.0
01/ENE/2022,15Hs,39.2,350,7,0.0
01/ENE/2022,18Hs,33.5,138,22,0.0
01/ENE/2022,21Hs,27.3,85,11,0.0
02/ENE/2022,00Hs,23.5,134,11,0.2
02/ENE/2022,03Hs,25.7,106,4,0.0
02/ENE/2022,06Hs,21.1,162,12,0.0
02/ENE/2022,09Hs,29.3,98,9,0.0
02/ENE/2022,12Hs,36.0,205,8,0.6
02/ENE/2022,15Hs,41.5,38,15,0.0
02/ENE/2022,18Hs,21.7,254,35,2.0
02/ENE/2022,21Hs,24.3,37,13,0.4
03/ENE/2022,00Hs,20.6,185,16,0.8
03/ENE/2022,03Hs,20.1,103,11,0.0
03/ENE/2022,06Hs,20.0,149,2,0.0
03/ENE/2022,09Hs,28.9,11,8,0.0
03/ENE/2022,12Hs,37.5,315,2,0.0
03/ENE/2022,15Hs,40.3,160,6,0.0
03/ENE/2022,18Hs,39.5,189,20,0.0
03/ENE/2022,21Hs,29.0,306,14,0.2
04/ENE/2022,00Hs,27.6,39,20,0.0
04/ENE/2022,03Hs,23.6,43,14,0.0
04/ENE/2022,06Hs,21.9,235,11,0.0
04/ENE/2022,09Hs,28.1,348,12,0.0
04/ENE/2022,12Hs,34.0,309,12,0.0
04/ENE/2022,15Hs,38.2,217,25,0.0
04/ENE/2022,18Hs,36.1,193,23,0.0
04/ENE/2022,21Hs,29.6,114,11,0.0
05/ENE/2022,00Hs,24.0,62,11,0.0
05/ENE/2022,03Hs,21.1,150,14,0.0
05/ENE/2022,06Hs,19.1,148,22,0.0
05/ENE/2022,09Hs,24.7,129,24,0.0
05/ENE/2022,12Hs,32.0,133,19,0.0
05/ENE/2022,15Hs,35.7,148,18,0.0
05/ENE/2022,18Hs,34.8,150,21,0.0
05/ENE/2022,21Hs,25.1,173,16,0.0
