date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,24.1,282,8,0.0
01/ENE/2022,03Hs,23.3,306,8,0.0
01/ENE/2022,06Hs,22.1,46,6,0.0
01/ENE/2022,09Hs,25.0,36,5,1.2
01/ENE/2022,12Hs,31.6,56,21,1.2
01/ENE/2022,15Hs,33.7,32,22,0.8
01/ENE/2022,18Hs,37.3,100,13,0.0
01/ENE/2022,21Hs,19.5,96,12,3.9
02/ENE/2022,00Hs,19.2,288,5,0.2
02/ENE/2022,03Hs,18.9,321,6,0.0
02/ENE/2022,06Hs,18.7,7,9,0.0
02/ENE/2022,09Hs,24.1,19,14,0.0
02/ENE/2022,12Hs,33.6,54,24,0.0
02/ENE/2022,15Hs,38.7,94,19,0.0
02/ENE/2022,18Hs,35.7,55,24,0.0
02/ENE/2022,21Hs,25.4,337,17,0.0
03/ENE/2022,00Hs,23.4,214,16,0.1
03/ENE/2022,03Hs,23.4,181,16,0.0
03/ENE/2022,06Hs,20.8,211,15,0.0
03/ENE/2022,09Hs,26.7,171,15,0.0
03/ENE/2022,12Hs,32.1,119,14,0.0
03/ENE/2022,15Hs,35.7,79,18,0.0
03/ENE/2022,18Hs,31.5,175,20,0.0
03/ENE/2022,21Hs,27.7,293,11,0.0
04/ENE/2022,00Hs,18.9,198,24,0.4
04/ENE/2022,03Hs,18.9,294,12,2.1
04/ENE/2022,06Hs,19.1,287,8,1.2
04/ENE/2022,09Hs,22.2,157,12,0.0
04/ENE/2022,12Hs,28.5,153,13,0.0
04/ENE/2022,15Hs,32.1,141,17,0.0
04/ENE/2022,18Hs,24.5,236,22,0.4
04/ENE/2022,21Hs,22.9,244,18,0.0
05/ENE/2022,00Hs,23.0,226,12,0.0
05/ENE/2022,03Hs,22.7,211,14,0.0
05/ENE/2022,06Hs,19.5,196,13,0.0
05/ENE/2022,09Hs,23.1,170,16,0.0
05/ENE/2022,12Hs,28.0,130,14,0.0
05/ENE/2022,15Hs,31.4,114,14,0.0
05/ENE/2022,18Hs,31.1,127,18,0.0
05/ENE/2022,21Hs,24.5,146,10,0.0
