date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,17.0,136,8,0.0
01/ENE/2022,03Hs,16.5,174,5,0.0
01/ENE/2022,06Hs,17.4,248,7,0.0
01/ENE/2022,09Hs,23.8,219,22,0.0
01/ENE/2022,12Hs,30.0,255,16,0.0
01/ENE/2022,15Hs,31.9,265,25,0.0
01/ENE/2022,18Hs,31.0,261,24,0.0
01/ENE/2022,21Hs,23.0,238,13,0.0
02/ENE/2022,00Hs,20.9,271,9,0.0
02/ENE/2022,03Hs,21.3,241,15,0.0
02/ENE/2022,06Hs,18.2,347,6,0.0
02/ENE/2022,09Hs,26.2,251,20,0.0
02/ENE/2022,12Hs,31.1,259,20,0.0
02/ENE/2022,15Hs,30.7,236,22,0.0
02/ENE/2022,18Hs,27.4,234,39,0.0
02/ENE/2022,21Hs,21.9,237,12,0.0
03/ENE/2022,00Hs,16.0,354,9,0.0
03/ENE/2022,03Hs,14.2,313,6,0.0
03/ENE/2022,06Hs,13.2,320,12,0.0
03/ENE/2022,09Hs,24.5,309,22,0.0
03/ENE/2022,12Hs,30.3,271,27,0.0
03/ENE/2022,15Hs,32.7,265,26,0.0
03/ENE/2022,18Hs,32.2,252,26,0.0
03/ENE/2022,21Hs,24.8,243,13,0.0
04/ENE/2022,00Hs,23.0,242,15,0.0
04/ENE/2022,03Hs,20.4,341,7,0.0
04/ENE/2022,06Hs,18.0,238,13,0.0
04/ENE/2022,09Hs,23.7,229,28,0.0
04/ENE/2022,12Hs,27.6,223,28,0.0
04/ENE/2022,15Hs,29.0,193,30,0.0
04/ENE/2022,18Hs,24.6,176,28,0.0
04/ENE/2022,21Hs,15.7,146,22,0.0
05/ENE/2022,00Hs,11.0,130,10,0.0
05/ENE/2022,03Hs,8.9,359,3,0.0
05/ENE/2022,06Hs,8.7,194,1,0.0
05/ENE/2022,09Hs,18.4,69,7,0.0
05/ENE/2022,12Hs,25.4,103,12,0.0
05/ENE/2022,15Hs,29.4,118,14,0.0
05/ENE/2022,18Hs,29.3,113,17,0.0
05/ENE/2022,21Hs,21.4,104,23,0.0
