date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,25.8,51,11,0.0
01/ENE/2022,03Hs,24.5,38,10,0.0
01/ENE/2022,06Hs,22.7,35,10,0.0
01/ENE/2022,09Hs,31.9,41,16,0.0
01/ENE/2022,12Hs,39.1,21,18,0.0
01/ENE/2022,15Hs,42.0,27,16,0.0
01/ENE/2022,18Hs,41.3,25,14,0.0
01/ENE/2022,21Hs,32.0,71,11,0.0
02/ENE/2022,00Hs,28.9,63,13,0.0
02/ENE/2022,03Hs,30.1,42,17,0.0
02/ENE/2022,06Hs,29.3,35,13,0.0
02/ENE/2022,09Hs,32.6,10,10,0.0
02/ENE/2022,12Hs,39.7,348,16,0.0
02/ENE/2022,15Hs,26.9,126,13,0.8
02/ENE/2022,18Hs,31.7,83,20,0.0
02/ENE/2022,21Hs,24.3,316,5,0.4
03/ENE/2022,00Hs,24.2,197,11,0.0
03/ENE/2022,03Hs,24.1,72,5,0.0
03/ENE/2022,06Hs,22.5,32,10,0.0
03/ENE/2022,09Hs,29.1,270,4,0.0
03/ENE/2022,12Hs,35.3,276,9,0.0
03/ENE/2022,15Hs,37.7,325,7,0.0
03/ENE/2022,18Hs,37.1,32,13,0.0
03/ENE/2022,21Hs,26.1,3,9,0.5
04/ENE/2022,00Hs,24.1,23,10,0.1
04/ENE/2022,03Hs,21.8,20,10,0.6
04/ENE/2022,06Hs,20.4,4,8,0.9
04/ENE/2022,09Hs,26.9,20,5,0.2
04/ENE/2022,12Hs,34.6,246,8,0.0
04/ENE/2022,15Hs,36.0,208,14,0.0
04/ENE/2022,18Hs,36.6,213,11,0.0
04/ENE/2022,21Hs,27.0,232,18,0.2
05/ENE/2022,00Hs,25.3,117,15,0.0
05/ENE/2022,03Hs,23.8,183,3,0.0
05/ENE/2022,06Hs,22.7,103,2,0.0
05/ENE/2022,09Hs,28.8,160,9,0.0
05/ENE/2022,12Hs,34.9,155,15,0.0
05/ENE/2022,15Hs,38.1,170,21,0.0
05/ENE/2022,18Hs,36.5,142,24,0.0
05/ENE/2022,21Hs,29.5,127,17,0.0
