date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,21.0,43,23,0.0
01/ENE/2022,03Hs,21.8,34,24,0.0
01/ENE/2022,06Hs,21.4,17,22,0.0
01/ENE/2022,09Hs,28.7,341,28,0.0
01/ENE/2022,12Hs,34.6,305,23,0.0
01/ENE/2022,15Hs,29.2,219,8,1.1
01/ENE/2022,18Hs,19.6,99,30,10.3
01/ENE/2022,21Hs,18.7,310,10,1.5
02/ENE/2022,00Hs,20.0,21,12,0.0
02/ENE/2022,03Hs,19.0,181,8,0.0
02/ENE/2022,06Hs,19.1,337,9,0.0
02/ENE/2022,09Hs,22.2,310,17,0.2
02/ENE/2022,12Hs,29.5,291,17,0.0
02/ENE/2022,15Hs,28.4,44,25,0.2
02/ENE/2022,18Hs,17.4,360,7,27.6
02/ENE/2022,21Hs,17.6,115,12,0.4
03/ENE/2022,00Hs,16.9,137,11,0.0
03/ENE/2022,03Hs,16.9,111,9,0.0
03/ENE/2022,06Hs,17.3,100,9,0.0
03/ENE/2022,09Hs,22.9,41,8,0.0
03/ENE/2022,12Hs,29.8,286,8,0.0
03/ENE/2022,15Hs,33.1,283,7,0.0
03/ENE/2022,18Hs,26.7,31,26,0.0
03/ENE/2022,21Hs,21.6,29,22,0.0
04/ENE/2022,00Hs,22.1,33,23,0.0
04/ENE/2022,03Hs,22.6,360,13,0.0
04/ENE/2022,06Hs,19.7,312,9,0.0
04/ENE/2022,09Hs,25.8,231,15,0.1
04/ENE/2022,12Hs,31.3,241,19,0.2
04/ENE/2022,15Hs,27.9,117,40,0.0
04/ENE/2022,18Hs,21.9,152,38,0.0
04/ENE/2022,21Hs,17.2,158,25,0.0
05/ENE/2022,00Hs,13.7,182,11,0.0
05/ENE/2022,03Hs,11.8,194,11,0.0
05/ENE/2022,06Hs,11.4,182,11,0.0
05/ENE/2022,09Hs,18.9,151,15,0.0
05/ENE/2022,12Hs,23.7,130,17,0.0
05/ENE/2022,15Hs,24.5,116,24,0.0
05/ENE/2022,18Hs,20.6,113,24,0.0
05/ENE/2022,21Hs,14.7,100,13,0.0
