date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
01/ENE/2022,00Hs,7.7,304,9,0.0
01/ENE/2022,03Hs,6.8,335,14,0.0
01/ENE/2022,06Hs,5.7,345,10,0.0
01/ENE/2022,09Hs,9.9,341,16,0.0
01/ENE/2022,12Hs,13.6,279,25,0.0
01/ENE/2022,15Hs,13.6,264,33,0.0
01/ENE/2022,18Hs,12.8,281,35,0.0
01/ENE/2022,21Hs,9.8,261,21,0.0
02/ENE/2022,00Hs,6.0,265,30,0.0
02/ENE/2022,03Hs,4.8,217,7,0.5
02/ENE/2022,06Hs,4.5,250,25,0.0
02/ENE/2022,09Hs,7.0,265,26,0.0
02/ENE/2022,12Hs,9.5,275,28,0.0
02/ENE/2022,15Hs,11.0,268,26,0.0
02/ENE/2022,18Hs,11.7,252,26,0.0
02/ENE/2022,21Hs,9.9,267,20,0.0
03/ENE/2022,00Hs,7.5,270,11,0.0
03/ENE/2022,03Hs,5.8,356,4,0.0
03/ENE/2022,06Hs,5.4,99,9,0.0
03/ENE/2022,09Hs,6.0,271,19,0.0
03/ENE/2022,12Hs,9.2,264,19,0.0
03/ENE/2022,15Hs,12.3,262,19,0.0
03/ENE/2022,18Hs,12.5,257,23,0.0
03/ENE/2022,21Hs,10.4,266,30,0.0
04/ENE/2022,00Hs,7.7,265,20,0.0
04/ENE/2022,03Hs,7.7,262,25,0.2
04/ENE/2022,06Hs,5.4,260,28,0.0
04/ENE/2022,09Hs,7.0,259,27,0.0
04/ENE/2022,12Hs,10.0,263,32,0.0
04/ENE/2022,15Hs,10.9,257,32,0.0
04/ENE/2022,18Hs,10.5,253,27,0.0
04/ENE/2022,21Hs,8.4,258,25,0.0
05/ENE/2022,00Hs,6.6,256,18,0.0
05/ENE/2022,03Hs,5.4,264,14,0.0
05/ENE/2022,06Hs,5.2,269,11,0.0
05/ENE/2022,09Hs,8.7,277,9,0.0
05/ENE/2022,12Hs,13.0,249,10,0.0
05/ENE/2022,15Hs,16.4,254,22,0.0
05/ENE/2022,18Hs,17.2,268,23,0.0
05/ENE/2022,21Hs,13.3,260,15,0.0
